CPS Technologies Price to Free Cash Flow Ratio Historical Data,CPS Technologies Price to Free Cash Flow Ratio Historical Data,CPS Technologies Price to Free Cash Flow Ratio Historical Data,CPS Technologies Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.66,,0.0
2024-09-30,1.42,$-0.20,0.0
2024-06-30,1.7,$-0.11,0.0
2024-03-31,1.85,$0.09,20.69
2023-12-31,2.35,$0.04,62.67
2023-09-30,2.78,$0.21,12.99
2023-06-30,2.8,$0.25,11.41
2023-03-31,2.85,$0.18,15.54
2022-12-31,2.69,$0.21,12.67
2022-09-30,2.81,$0.12,23.79
2022-06-30,3.07,$0.12,26.22
2022-03-31,5.21,$0.09,61.22
2021-12-31,3.79,$0.10,37.01
2021-09-30,4.97,$0.09,55.97
2021-06-30,9.61,$0.07,147.39
2021-03-31,13.09,$0.11,116.88
2020-12-31,2.78,$0.10,27.36
2020-09-30,1.65,$-0.06,0.0
2020-06-30,2.42,$-0.02,0.0
2020-03-31,1.01,$-0.11,0.0
2019-12-31,1.01,$-0.13,0.0
2019-09-30,1.02,$0.07,15.48
2019-06-30,1.16,$-0.01,0.0
2019-03-31,1.54,$-0.01,0.0
2018-12-31,1.23,$-0.05,0.0
2018-09-30,1.45,$-0.19,0.0
2018-06-30,1.62,$-0.18,0.0
2018-03-31,1.35,$-0.21,0.0
2017-12-31,1.66,$-0.16,0.0
2017-09-30,1.09,$-0.13,0.0
2017-06-30,1.19,$-0.12,0.0
2017-03-31,1.51,$-0.06,0.0
2016-12-31,1.87,$-0.00,0.0
2016-09-30,1.5,$0.03,56.6
2016-06-30,1.73,$0.06,27.95
2016-03-31,1.72,$0.11,15.3
2015-12-31,2.95,$0.08,37.25
2015-09-30,2.29,$0.15,15.44
2015-06-30,2.34,$0.12,19.93
2015-03-31,2.8,$0.10,28.63
2014-12-31,3.25,$0.06,57.12
2014-09-30,3.0,$0.05,57.03
2014-06-30,2.95,$0.08,36.46
2014-03-31,2.75,$0.10,27.89
2013-12-31,2.52,$0.13,18.89
2013-09-30,1.9,$0.03,61.69
2013-06-30,1.6,$-0.02,0.0
2013-03-31,1.2,$-0.07,0.0
2012-12-31,1.25,$-0.09,0.0
2012-09-30,1.35,$-0.08,0.0
2012-06-30,2.05,$-0.06,0.0
2012-03-31,2.3,$-0.02,0.0
2011-12-31,1.85,$-0.04,0.0
2011-09-30,2.18,$-0.01,0.0
2011-06-30,2.2,$-0.05,0.0
2011-03-31,2.0,$0.03,66.89
2010-12-31,1.85,$0.07,24.83
2010-09-30,1.85,$0.05,39.7
2010-06-30,1.6,$0.11,14.22
2010-03-31,1.5,$0.00,0.0
2009-12-31,1.15,$-0.01,0.0
