Dun & Bradstreet Holdings Price to Free Cash Flow Ratio Historical Data,Dun & Bradstreet Holdings Price to Free Cash Flow Ratio Historical Data,Dun & Bradstreet Holdings Price to Free Cash Flow Ratio Historical Data,Dun & Bradstreet Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,8.49,,8.51
2024-12-31,12.46,$1.00,12.49
2024-09-30,11.51,$1.04,11.05
2024-06-30,9.26,$0.99,9.31
2024-03-31,10.04,$1.05,9.6
2023-12-31,11.7,$1.04,11.26
2023-09-30,9.99,$0.87,11.49
2023-06-30,11.57,$1.23,9.42
2023-03-31,11.74,$1.27,9.26
2022-12-31,12.26,$1.22,10.03
2022-09-30,12.39,$1.24,10.02
2022-06-30,14.98,$0.97,15.49
2022-03-31,17.46,$0.90,19.44
2021-12-31,20.42,$0.97,20.97
2021-09-30,16.75,$0.98,17.07
2021-06-30,21.3,$1.03,20.63
