PBF Energy Price to Free Cash Flow Ratio Historical Data,PBF Energy Price to Free Cash Flow Ratio Historical Data,PBF Energy Price to Free Cash Flow Ratio Historical Data,PBF Energy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,21.89,,0.0
2024-12-31,26.55,$-2.97,0.0
2024-09-30,30.67,$2.37,12.94
2024-06-30,45.3,$6.86,6.61
2024-03-31,56.38,$2.74,20.58
2023-12-31,42.82,$5.24,8.18
2023-09-30,51.85,$10.43,4.97
2023-06-30,39.49,$16.85,2.34
2023-03-31,41.59,$32.52,1.28
2022-12-31,38.93,$32.62,1.19
2022-09-30,33.42,$26.14,1.28
2022-06-30,27.59,$18.34,1.5
2022-03-31,23.17,$3.95,5.86
2021-12-31,12.33,$1.92,6.42
2021-09-30,12.33,$2.67,4.61
2021-06-30,14.54,$-0.71,0.0
2021-03-31,13.45,$-0.26,0.0
2020-12-31,6.75,$-2.36,0.0
2020-09-30,5.41,$-0.20,0.0
2020-06-30,9.73,$4.79,2.03
2020-03-31,6.73,$4.20,1.6
2019-12-31,29.47,$4.64,6.36
2019-09-30,25.31,$1.31,19.26
2019-06-30,28.74,$1.18,24.38
2019-03-31,28.3,$3.66,7.74
2018-12-31,29.42,$4.79,6.14
2018-09-30,44.59,$7.63,5.84
2018-06-30,37.23,$9.29,4.01
2018-03-31,29.88,$4.90,6.1
2017-12-31,30.95,$3.33,9.3
2017-09-30,23.87,$3.08,7.75
2017-06-30,18.98,$-0.79,0.0
2017-03-31,18.65,$1.77,10.54
2016-12-31,23.17,$3.65,6.35
2016-09-30,18.57,$3.72,4.99
2016-06-30,19.25,$1.58,12.21
2016-03-31,26.61,$2.15,12.36
2015-12-31,29.16,$3.98,7.33
2015-09-30,22.18,$1.78,12.49
2015-06-30,22.12,$3.65,6.06
2015-03-31,26.11,$-0.98,0.0
2014-12-31,20.31,$2.20,9.25
2014-09-30,18.08,$4.73,3.82
2014-06-30,19.84,$8.60,2.31
2014-03-31,19.02,$5.04,3.77
2013-12-31,22.92,$2.28,10.06
2013-09-30,16.18,$5.86,2.76
