Old Point Financial Price to Free Cash Flow Ratio Historical Data,Old Point Financial Price to Free Cash Flow Ratio Historical Data,Old Point Financial Price to Free Cash Flow Ratio Historical Data,Old Point Financial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,29.9,,12.54
2024-09-30,19.2,$2.38,8.05
2024-06-30,14.47,$1.62,8.92
2024-03-31,17.34,$2.07,8.39
2023-12-31,17.38,$2.15,8.08
2023-09-30,17.56,$2.42,7.27
2023-06-30,16.55,$2.62,6.32
2023-03-31,22.5,$3.23,6.96
2022-12-31,25.38,$3.39,7.48
2022-09-30,25.92,$3.55,7.3
2022-06-30,23.5,$3.10,7.59
2022-03-31,22.65,$2.29,9.91
2021-12-31,21.5,$4.14,5.19
2021-09-30,19.44,$3.25,5.98
2021-06-30,22.7,$1.48,15.37
2021-03-31,21.28,$1.61,13.23
2020-12-31,17.06,$-1.41,0.0
2020-09-30,13.53,$-0.75,0.0
2020-06-30,13.52,$1.24,10.89
2020-03-31,13.3,$1.49,8.94
2019-12-31,24.08,$2.04,11.82
2019-09-30,20.76,$2.20,9.43
2019-06-30,19.14,$2.32,8.25
2019-03-31,18.3,$1.94,9.43
2018-12-31,18.75,$2.27,8.25
2018-09-30,25.57,$1.83,14.01
2018-06-30,24.58,$1.88,13.05
2018-03-31,22.37,$1.68,13.29
2017-12-31,25.12,$1.77,14.22
2017-09-30,27.26,$1.79,15.22
2017-06-30,27.56,$1.72,16.03
2017-03-31,25.18,$2.02,12.49
2016-12-31,20.8,$1.55,13.38
2016-09-30,17.11,$0.81,21.02
2016-06-30,15.81,$1.12,14.16
2016-03-31,15.25,$1.03,14.76
2015-12-31,14.0,$1.23,11.42
2015-09-30,12.75,$1.58,8.06
2015-06-30,12.61,$1.57,8.04
2015-03-31,12.04,$1.49,8.09
2014-12-31,11.97,$1.26,9.53
2014-09-30,11.72,$0.85,13.8
2014-06-30,12.17,$-0.25,0.0
2014-03-31,13.28,$-0.66,0.0
2013-12-31,10.06,$-0.48,0.0
2013-09-30,10.15,$-0.72,0.0
2013-06-30,10.18,$-0.17,0.0
2013-03-31,9.96,$0.68,14.69
2012-12-31,8.52,$1.13,7.51
2012-09-30,8.35,$2.33,3.58
2012-06-30,8.25,$2.27,3.63
2012-03-31,8.37,$2.06,4.05
2011-12-31,7.65,$1.88,4.07
2011-09-30,7.72,$1.07,7.22
2011-06-30,8.8,$1.01,8.72
2011-03-31,8.6,$0.53,16.22
2010-12-31,8.96,$0.68,13.08
2010-09-30,8.68,$0.86,10.14
2010-06-30,9.59,$0.62,15.48
2010-03-31,10.83,$-0.19,0.0
2009-12-31,11.33,$-0.74,0.0
