Carvana Price to Free Cash Flow Ratio Historical Data,Carvana Price to Free Cash Flow Ratio Historical Data,Carvana Price to Free Cash Flow Ratio Historical Data,Carvana Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,185.42,,29.25
2024-12-31,203.36,$6.34,32.08
2024-09-30,174.11,$4.91,35.44
2024-06-30,128.72,$3.21,40.09
2024-03-31,87.91,$5.15,17.06
2023-12-31,52.94,$3.93,13.48
2023-09-30,41.98,$-2.98,0.0
2023-06-30,25.92,$-5.40,0.0
2023-03-31,9.79,$-9.56,0.0
2022-12-31,4.74,$-17.77,0.0
2022-09-30,20.3,$-26.47,0.0
2022-06-30,22.58,$-38.84,0.0
2022-03-31,119.29,$-39.22,0.0
2021-12-31,231.79,$-38.05,0.0
2021-09-30,301.54,$-26.03,0.0
2021-06-30,301.82,$-17.25,0.0
2021-03-31,262.4,$-17.64,0.0
2020-12-31,239.54,$-14.90,0.0
2020-09-30,223.06,$-19.56,0.0
2020-06-30,120.2,$-17.99,0.0
2020-03-31,55.09,$-19.98,0.0
2019-12-31,92.05,$-21.09,0.0
2019-09-30,66.0,$-19.64,0.0
2019-06-30,62.59,$-17.79,0.0
2019-03-31,58.06,$-16.11,0.0
2018-12-31,32.71,$-18.57,0.0
2018-09-30,59.09,$-17.32,0.0
2018-06-30,41.6,$-20.46,0.0
2018-03-31,22.93,$-26.96,0.0
