"SINTX TECHNOLOGIES, INC Price to Free Cash Flow Ratio Historical Data","SINTX TECHNOLOGIES, INC Price to Free Cash Flow Ratio Historical Data","SINTX TECHNOLOGIES, INC Price to Free Cash Flow Ratio Historical Data","SINTX TECHNOLOGIES, INC Price to Free Cash Flow Ratio Historical Data"
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.88,,0.0
2024-12-31,3.5,$-12.50,0.0
2024-09-30,3.26,$-159.62,0.0
2024-06-30,4.8,$-299.79,0.0
2024-03-31,9.9,$-288.47,0.0
2023-12-31,76.28,$-670.89,0.0
2023-09-30,162.0,$-519.97,0.0
2023-06-30,246.0,$-390.47,0.0
2023-03-31,410.0,$-422.28,0.0
2022-12-31,1936.0,$-36.80,0.0
2022-09-30,6400.0,$-91.44,0.0
2022-06-30,8654.0,$-79.80,0.0
2022-03-31,12200.0,$-68.49,0.0
2021-12-31,12838.0,$-54.81,0.0
2021-09-30,25600.0,$-0.66,0.0
2021-06-30,38400.0,$-0.37,0.0
2021-03-31,37400.0,$-0.25,0.0
2020-12-31,31400.0,$-0.54,0.0
2020-09-30,38400.0,$-2.19,0.0
2020-06-30,38000.0,$-1.05,0.0
2020-03-31,8026.0,$-2.32,0.0
2019-12-31,29800.0,$-4.23,0.0
2019-09-30,40200.0,$-7.42,0.0
2019-06-30,51000.0,$-9.08,0.0
2019-03-31,113999.99,$-26.13,0.0
2018-12-31,107999.99,$-24.40,0.0
2018-09-30,155039.99,$-17.59,0.0
2018-06-30,566939.97,$-17.61,0.0
2018-03-31,912059.95,$0.14,6445653.39
2017-12-31,1961999.9,$-0.00,0.0
2017-09-30,2161439.82,$-3.86,0.0
2017-06-30,2727359.78,$-3.80,0.0
2017-03-31,2951999.76,$-3.96,0.0
2016-12-31,4538159.63,$-5.04,0.0
2016-09-30,6688799.45,$-10.01,0.0
2016-06-30,9503999.22,$-27.82,0.0
2016-03-31,11159999.08,$-26.88,0.0
2015-12-31,12819598.31,$-26.85,0.0
2015-09-30,33695995.55,$-39.13,0.0
2015-06-30,61775991.85,$-21.20,0.0
2015-03-31,37918794.99,$-21.79,0.0
2014-12-31,86399988.6,$-20.41,0.0
