Pitney Bowes Price to Free Cash Flow Ratio Historical Data,Pitney Bowes Price to Free Cash Flow Ratio Historical Data,Pitney Bowes Price to Free Cash Flow Ratio Historical Data,Pitney Bowes Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,9.44,,10.96
2024-12-31,7.24,$0.86,8.41
2024-09-30,7.08,$0.61,11.63
2024-06-30,5.01,$0.77,6.52
2024-03-31,4.23,$0.22,19.28
2023-12-31,4.24,$0.01,378.87
2023-09-30,2.88,$0.66,4.33
2023-06-30,3.33,$0.09,37.75
2023-03-31,3.6,$0.25,14.13
2022-12-31,3.47,$0.81,4.3
2022-09-30,2.1,$0.02,86.38
2022-06-30,3.21,$0.50,6.46
2022-03-31,4.57,$0.70,6.55
2021-12-31,5.76,$0.67,8.65
2021-09-30,6.23,$0.95,6.53
2021-06-30,7.52,$1.68,4.46
2021-03-31,7.02,$2.16,3.25
2020-12-31,5.22,$1.49,3.51
2020-09-30,4.46,$1.19,3.74
2020-06-30,2.17,$0.74,2.95
2020-03-31,1.67,$-0.03,0.0
2019-12-31,3.25,$0.74,4.42
2019-09-30,3.65,$0.79,4.6
2019-06-30,3.37,$0.85,3.95
2019-03-31,5.35,$1.11,4.83
2018-12-31,4.57,$1.10,4.16
2018-09-30,5.35,$1.45,3.7
2018-06-30,6.32,$1.61,3.93
2018-03-31,7.87,$1.38,5.72
2017-12-31,7.95,$1.79,4.44
2017-09-30,9.78,$1.97,4.96
2017-06-30,10.39,$1.90,5.47
2017-03-31,8.91,$2.39,3.73
2016-12-31,10.18,$1.88,5.42
2016-09-30,12.02,$1.80,6.66
2016-06-30,11.66,$1.85,6.3
2016-03-31,13.97,$1.85,7.53
2015-12-31,13.25,$2.03,6.52
2015-09-30,12.62,$2.27,5.57
2015-06-30,13.12,$2.05,6.4
2015-03-31,14.58,$2.25,6.47
2014-12-31,15.11,$2.33,6.49
2014-09-30,15.38,$1.83,8.38
2014-06-30,16.87,$2.41,7.02
2014-03-31,15.77,$2.31,6.83
2013-12-31,14.03,$2.40,5.84
2013-09-30,10.87,$2.95,3.68
2013-06-30,8.68,$2.17,4.0
2013-03-31,8.68,$2.76,3.15
2012-12-31,6.05,$2.40,2.52
2012-09-30,7.59,$2.21,3.43
2012-06-30,8.01,$3.42,2.34
2012-03-31,9.18,$2.77,3.32
2011-12-31,9.49,$3.94,2.41
2011-09-30,9.43,$4.34,2.18
2011-06-30,11.31,$4.04,2.8
2011-03-31,12.45,$4.00,3.12
2010-12-31,11.55,$4.03,2.87
2010-09-30,10.05,$3.04,3.3
2010-06-30,10.13,$3.03,3.35
2010-03-31,11.12,$3.38,3.29
2009-12-31,10.19,$3.17,3.21
