XWELL Price to Free Cash Flow Ratio Historical Data,XWELL Price to Free Cash Flow Ratio Historical Data,XWELL Price to Free Cash Flow Ratio Historical Data,XWELL Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.98,,0.0
2024-09-30,1.73,$-2.61,0.0
2024-06-30,1.8,$-3.08,0.0
2024-03-31,1.69,$-3.51,0.0
2023-12-31,1.74,$-4.31,0.0
2023-09-30,2.25,$-5.12,0.0
2023-06-30,4.01,$-6.25,0.0
2023-03-31,7.22,$-7.61,0.0
2022-12-31,7.26,$-6.55,0.0
2022-09-30,15.3,$-3.57,0.0
2022-06-30,13.81,$0.05,299.57
2022-03-31,22.6,$2.17,10.42
2021-12-31,40.4,$1.96,20.65
2021-09-30,29.4,$-5.83,0.0
2021-06-30,30.8,$-7.03,0.0
2021-03-31,36.8,$-0.82,0.0
2020-12-31,23.8,$-13.01,0.0
2020-09-30,39.4,$-18.93,0.0
2020-06-30,83.8,$-18.96,0.0
2020-03-31,11.68,$-29.63,0.0
2019-12-31,40.49,$-29.23,0.0
2019-09-30,86.16,$-103.57,0.0
2019-06-30,116.4,$-160.06,0.0
2019-03-31,144.0,$-244.09,0.0
2018-12-31,187.2,$-396.06,0.0
