First Foundation Price to Free Cash Flow Ratio Historical Data,First Foundation Price to Free Cash Flow Ratio Historical Data,First Foundation Price to Free Cash Flow Ratio Historical Data,First Foundation Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.82,,0.0
2024-12-31,6.21,$-0.10,0.0
2024-09-30,6.24,$-0.42,0.0
2024-06-30,6.55,$-0.40,0.0
2024-03-31,7.54,$0.02,360.62
2023-12-31,9.65,$-0.01,0.0
2023-09-30,6.06,$0.65,9.38
2023-06-30,3.95,$0.95,4.14
2023-03-31,7.38,$1.15,6.39
2022-12-31,14.09,$1.78,7.94
2022-09-30,17.71,$2.32,7.62
2022-06-30,19.88,$2.44,8.14
2022-03-31,23.46,$2.10,11.16
2021-12-31,23.91,$2.06,11.6
2021-09-30,25.21,$1.87,13.5
2021-06-30,21.5,$1.70,12.62
2021-03-31,22.33,$2.15,10.38
2020-12-31,18.95,$1.44,13.18
2020-09-30,12.33,$1.36,9.07
2020-06-30,15.35,$1.41,10.9
2020-03-31,9.55,$1.09,8.79
2019-12-31,16.19,$1.33,12.17
2019-09-30,14.17,$1.30,10.89
2019-06-30,12.42,$1.35,9.23
2019-03-31,12.5,$1.18,10.59
2018-12-31,11.8,$1.19,9.88
2018-09-30,14.34,$1.21,11.83
2018-06-30,17.02,$0.89,19.07
2018-03-31,17.02,$1.12,15.15
2017-12-31,17.02,$1.02,16.66
2017-09-30,16.42,$0.88,18.72
2017-06-30,15.08,$0.86,17.48
2017-03-31,14.24,$0.55,25.96
2016-12-31,13.08,$0.55,23.68
2016-09-30,11.32,$0.62,18.13
2016-06-30,9.87,$0.58,17.1
2016-03-31,10.29,$0.58,17.67
2015-12-31,10.83,$0.52,20.69
2015-09-30,10.45,$1.14,9.17
