FedEx Price to Free Cash Flow Ratio Historical Data,FedEx Price to Free Cash Flow Ratio Historical Data,FedEx Price to Free Cash Flow Ratio Historical Data,FedEx Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,246.21,,21.98
2024-11-30,301.18,$11.20,26.89
2024-08-31,295.86,$11.11,26.63
2024-05-31,250.14,$13.10,19.09
2024-02-29,243.99,$13.63,17.9
2023-11-30,252.48,$16.66,15.15
2023-08-31,253.36,$13.34,19.0
2023-05-31,210.39,$10.86,19.38
2023-02-28,195.03,$8.56,22.79
2022-11-30,173.72,$8.42,20.63
2022-08-31,199.89,$11.33,17.65
2022-05-31,211.95,$12.03,17.62
2022-02-28,209.04,$11.73,17.82
2021-11-30,216.0,$10.87,19.87
2021-08-31,248.41,$13.52,18.37
2021-05-31,293.59,$16.24,18.08
2021-02-28,236.74,$14.67,16.14
2020-11-30,265.99,$10.66,24.94
2020-08-31,203.45,$5.09,39.98
2020-05-31,120.22,$-2.86,0.0
2020-02-29,129.33,$-3.20,0.0
2019-11-30,146.03,$-2.25,0.0
2019-08-31,144.13,$-1.00,0.0
2019-05-31,139.65,$0.78,179.64
2019-02-28,163.22,$5.40,30.22
2018-11-30,205.84,$-0.91,0.0
2018-08-31,218.7,$-3.32,0.0
2018-05-31,222.73,$-3.48,0.0
2018-02-28,219.87,$-6.71,0.0
2017-11-30,206.1,$-4.47,0.0
2017-08-31,190.44,$-0.96,0.0
2017-05-31,171.78,$-0.19,0.0
2017-02-28,170.66,$-1.41,0.0
2016-11-30,169.16,$3.69,45.8
2016-08-31,145.21,$2.13,68.06
2016-05-31,144.88,$3.15,45.93
2016-02-29,120.0,$2.61,45.95
2015-11-30,138.75,$2.36,58.77
2015-08-31,131.6,$2.86,46.0
2015-05-31,151.15,$3.63,41.59
2015-02-28,154.25,$4.07,37.85
2014-11-30,155.12,$3.54,43.77
2014-08-31,128.57,$2.19,58.82
2014-05-31,125.16,$2.42,51.8
2014-02-28,115.63,$2.60,44.4
2013-11-30,120.16,$4.60,26.14
2013-08-31,92.88,$5.65,16.45
2013-05-31,83.22,$4.32,19.28
2013-02-28,90.95,$4.42,20.57
2012-11-30,77.24,$2.48,31.18
2012-08-31,75.36,$3.44,21.94
2012-05-31,76.53,$2.85,26.9
2012-02-29,77.15,$3.28,23.51
2011-11-30,71.12,$2.29,31.09
2011-08-31,67.27,$2.17,30.99
2011-05-31,79.9,$2.27,35.27
2011-02-28,76.7,$0.54,141.64
2010-11-30,77.64,$1.51,51.29
2010-08-31,66.31,$0.32,207.43
2010-05-31,70.83,$1.14,62.3
2010-02-28,71.82,$0.19,377.21
2009-11-30,71.47,$0.68,105.18
