Dorian LPG Price to Free Cash Flow Ratio Historical Data,Dorian LPG Price to Free Cash Flow Ratio Historical Data,Dorian LPG Price to Free Cash Flow Ratio Historical Data,Dorian LPG Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,23.34,,3.92
2024-12-31,24.37,$5.96,4.09
2024-09-30,33.21,$7.17,4.63
2024-06-30,39.39,$8.25,4.77
2024-03-31,35.27,$8.79,4.01
2023-12-31,39.13,$6.57,5.96
2023-09-30,24.79,$5.89,4.21
2023-06-30,21.36,$4.74,4.51
2023-03-31,15.85,$3.86,4.11
2022-12-31,14.41,$4.74,3.04
2022-09-30,9.8,$3.85,2.55
2022-06-30,10.31,$4.55,2.27
2022-03-31,8.45,$4.61,1.83
2021-12-31,6.89,$4.42,1.56
2021-09-30,6.74,$4.86,1.39
2021-06-30,7.09,$2.95,2.41
2021-03-31,6.6,$3.23,2.04
2020-12-31,6.12,$2.50,2.45
2020-09-30,4.02,$2.69,1.49
2020-06-30,3.89,$3.60,1.08
2020-03-31,4.38,$2.75,1.59
2019-12-31,7.78,$2.03,3.84
2019-09-30,5.21,$1.31,3.97
2019-06-30,4.53,$0.42,10.92
2019-03-31,3.23,$0.09,36.16
2018-12-31,2.93,$0.17,17.08
2018-09-30,4.0,$0.27,14.86
2018-06-30,3.84,$0.63,6.09
2018-03-31,3.76,$1.05,3.58
2017-12-31,4.13,$0.80,5.18
2017-09-30,3.43,$0.71,4.8
2017-06-30,4.11,$0.63,6.51
2017-03-31,5.29,$0.93,5.7
2016-12-31,4.13,$1.16,3.54
2016-09-30,3.01,$-4.73,0.0
2016-06-30,3.54,$-9.28,0.0
2016-03-31,4.72,$-13.08,0.0
2015-12-31,5.91,$-13.73,0.0
2015-09-30,5.18,$-9.60,0.0
2015-06-30,8.38,$-7.34,0.0
2015-03-31,6.55,$-5.14,0.0
