NewAmsterdam Pharma Price to Free Cash Flow Ratio Historical Data,NewAmsterdam Pharma Price to Free Cash Flow Ratio Historical Data,NewAmsterdam Pharma Price to Free Cash Flow Ratio Historical Data,NewAmsterdam Pharma Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,24.07,,0.0
2024-12-31,25.7,$-1.69,0.0
2024-09-30,16.6,$-1.69,0.0
2024-06-30,19.21,$-2.48,0.0
2024-03-31,23.65,$-2.34,0.0
2023-12-31,11.17,$-1.17,0.0
