Renovaro Price to Free Cash Flow Ratio Historical Data,Renovaro Price to Free Cash Flow Ratio Historical Data,Renovaro Price to Free Cash Flow Ratio Historical Data,Renovaro Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.69,,0.0
2024-12-31,0.84,$-0.05,0.0
2024-09-30,0.48,$-0.08,0.0
2024-06-30,1.75,$-0.11,0.0
2024-03-31,2.65,$-0.12,0.0
2023-12-31,3.17,$-0.19,0.0
2023-09-30,4.47,$-0.20,0.0
2023-06-30,0.57,$-0.21,0.0
2023-03-31,0.92,$-0.23,0.0
2022-12-31,1.03,$-0.22,0.0
2022-09-30,1.81,$-0.25,0.0
2022-06-30,1.93,$-0.30,0.0
2022-03-31,8.25,$-0.52,0.0
2021-12-31,7.29,$-0.51,0.0
2021-09-30,6.73,$-0.48,0.0
2021-06-30,4.97,$-0.44,0.0
2021-03-31,3.54,$-0.21,0.0
2020-12-31,2.95,$-0.25,0.0
2020-09-30,3.58,$-0.25,0.0
2020-06-30,4.21,$-0.23,0.0
2020-03-31,3.0,$-0.24,0.0
2019-12-31,5.02,$-0.23,0.0
2019-09-30,5.5,$-0.29,0.0
