Ellington Credit Price to Free Cash Flow Ratio Historical Data,Ellington Credit Price to Free Cash Flow Ratio Historical Data,Ellington Credit Price to Free Cash Flow Ratio Historical Data,Ellington Credit Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,5.76,,289.45
2024-09-30,6.81,$0.02,342.44
2024-06-30,6.56,$-0.29,0.0
2024-03-31,6.37,$-0.56,0.0
2023-12-31,5.44,$-0.67,0.0
2023-09-30,5.29,$-0.19,0.0
2023-06-30,5.92,$0.32,18.62
2023-03-31,5.8,$1.00,5.78
2022-12-31,5.28,$1.70,3.1
2022-09-30,4.59,$1.91,2.41
2022-06-30,5.38,$2.10,2.56
2022-03-31,7.05,$2.18,3.23
2021-12-31,7.04,$2.20,3.2
2021-09-30,7.37,$2.30,3.21
2021-06-30,7.57,$2.40,3.15
2021-03-31,7.72,$2.07,3.74
2020-12-31,8.0,$1.97,4.05
2020-09-30,6.66,$1.71,3.89
2020-06-30,6.03,$1.41,4.26
2020-03-31,3.02,$1.47,2.05
2019-12-31,5.88,$1.41,4.18
2019-09-30,5.57,$1.55,3.58
2019-06-30,5.54,$1.77,3.12
2019-03-31,5.97,$1.99,3.0
2018-12-31,4.99,$2.25,2.22
2018-09-30,5.33,$2.78,1.92
2018-06-30,4.99,$1.33,3.75
2018-03-31,4.85,$0.25,19.04
2017-12-31,5.15,$2.97,1.74
2017-09-30,6.03,$1.21,4.99
2017-06-30,5.93,$2.63,2.25
2017-03-31,5.77,$4.35,1.33
2016-12-31,4.98,$2.18,2.28
2016-09-30,4.83,$4.56,1.06
2016-06-30,4.71,$3.63,1.3
2016-03-31,4.19,$3.77,1.11
2015-12-31,4.17,$2.71,1.54
2015-09-30,3.95,$2.18,1.82
2015-06-30,4.48,$2.73,1.64
2015-03-31,4.95,$1.75,2.82
2014-12-31,4.76,$2.33,2.05
2014-09-30,4.58,$3.05,1.5
2014-06-30,4.67,$4.96,0.94
2014-03-31,4.49,$4.59,0.98
