Investcorp Credit Management BDC Price to Free Cash Flow Ratio Historical Data,Investcorp Credit Management BDC Price to Free Cash Flow Ratio Historical Data,Investcorp Credit Management BDC Price to Free Cash Flow Ratio Historical Data,Investcorp Credit Management BDC Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.23,,1.73
2024-09-30,3.02,$1.87,1.62
2024-06-30,3.24,$2.57,1.26
2024-03-31,2.87,$2.16,1.33
2023-12-31,3.12,$1.64,1.9
2023-09-30,3.23,$2.53,1.28
2023-06-30,2.93,$1.44,2.04
2023-03-31,2.82,$2.86,0.98
2022-12-31,2.62,$1.23,2.14
2022-09-30,2.57,$0.85,3.01
2022-06-30,2.93,$1.48,1.98
2022-03-31,3.46,$-1.72,0.0
2021-12-31,3.21,$0.97,3.3
2021-09-30,3.44,$0.79,4.37
2021-06-30,3.32,$1.45,2.28
2021-03-31,3.36,$2.38,1.41
2020-12-31,2.76,$0.61,4.51
2020-09-30,2.03,$1.65,1.23
2020-06-30,1.87,$-0.77,0.0
2020-03-31,1.26,$-0.85,0.0
2019-12-31,3.21,$-0.76,0.0
2019-09-30,3.07,$-0.43,0.0
2019-06-30,3.39,$-1.02,0.0
2019-03-31,3.18,$0.18,17.54
2018-12-31,2.61,$0.35,7.5
2018-09-30,3.48,$-2.66,0.0
2018-06-30,3.5,$-2.06,0.0
2018-03-31,3.14,$-0.66,0.0
2017-12-31,3.03,$-1.86,0.0
2017-09-30,3.37,$0.75,4.48
2017-06-30,3.52,$3.31,1.06
2017-03-31,3.48,$2.61,1.34
2016-12-31,3.12,$4.35,0.72
2016-09-30,2.94,$3.54,0.83
2016-06-30,2.77,$3.02,0.92
2016-03-31,2.52,$0.94,2.67
2015-12-31,2.89,$0.66,4.38
2015-09-30,2.86,$-0.05,0.0
2015-06-30,3.55,$-3.52,0.0
2015-03-31,3.37,$-2.83,0.0
2014-12-31,2.73,$-7.69,0.0
