Stoke Therapeutics Price to Free Cash Flow Ratio Historical Data,Stoke Therapeutics Price to Free Cash Flow Ratio Historical Data,Stoke Therapeutics Price to Free Cash Flow Ratio Historical Data,Stoke Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,8.33,,0.0
2024-12-31,11.03,$-1.61,0.0
2024-09-30,12.29,$-1.62,0.0
2024-06-30,13.51,$-1.64,0.0
2024-03-31,13.5,$-1.91,0.0
2023-12-31,5.26,$-1.88,0.0
2023-09-30,3.94,$-1.99,0.0
2023-06-30,10.63,$-2.20,0.0
2023-03-31,8.33,$-2.27,0.0
2022-12-31,9.23,$-0.92,0.0
2022-09-30,12.84,$-0.78,0.0
2022-06-30,13.21,$-0.57,0.0
2022-03-31,21.05,$-0.45,0.0
2021-12-31,23.99,$-1.85,0.0
2021-09-30,25.44,$-1.73,0.0
2021-06-30,33.66,$-1.65,0.0
2021-03-31,38.84,$-1.50,0.0
2020-12-31,61.93,$-1.29,0.0
2020-09-30,33.49,$-2.12,0.0
2020-06-30,23.83,$0.16,152.66
2020-03-31,22.9,$-2.17,0.0
