Crescent Capital BDC Price to Free Cash Flow Ratio Historical Data,Crescent Capital BDC Price to Free Cash Flow Ratio Historical Data,Crescent Capital BDC Price to Free Cash Flow Ratio Historical Data,Crescent Capital BDC Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,17.74,,11.16
2024-12-31,19.22,$1.59,12.09
2024-09-30,18.43,$2.68,6.88
2024-06-30,18.21,$1.99,9.15
2024-03-31,16.27,$3.14,5.18
2023-12-31,15.9,$2.57,6.19
2023-09-30,15.2,$2.91,5.22
2023-06-30,13.08,$1.75,7.47
2023-03-31,11.45,$1.04,11.04
2022-12-31,10.43,$0.90,11.52
2022-09-30,11.87,$-4.43,0.0
2022-06-30,11.9,$-5.33,0.0
2022-03-31,13.27,$-5.12,0.0
2021-12-31,12.78,$-5.54,0.0
2021-09-30,13.54,$-2.82,0.0
2021-06-30,13.0,$-1.85,0.0
2021-03-31,11.65,$-0.32,0.0
2020-12-31,9.65,$-2.23,0.0
