McCormick Price to Free Cash Flow Ratio Historical Data,McCormick Price to Free Cash Flow Ratio Historical Data,McCormick Price to Free Cash Flow Ratio Historical Data,McCormick Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,80.7,,33.63
2024-11-30,78.41,$2.40,32.67
2024-08-31,79.61,$2.87,27.71
2024-05-31,71.41,$3.22,22.17
2024-02-29,67.71,$3.74,18.12
2023-11-30,63.36,$3.61,17.56
2023-08-31,79.73,$2.88,27.65
2023-05-31,82.9,$2.27,36.55
2023-02-28,71.54,$1.69,42.28
2022-11-30,81.61,$1.44,56.62
2022-08-31,80.15,$1.67,48.01
2022-05-31,88.0,$1.80,48.76
2022-02-28,89.99,$2.24,40.12
2021-11-30,80.84,$2.04,39.65
2021-08-31,80.94,$1.93,42.03
2021-05-31,83.21,$2.46,33.8
2021-02-28,78.44,$2.71,28.95
2020-11-30,86.7,$3.03,28.59
2020-08-31,95.31,$3.22,29.56
2020-05-31,80.68,$2.91,27.71
2020-02-29,67.07,$2.61,25.65
2019-11-30,77.37,$2.88,26.83
2019-08-31,74.2,$2.85,26.01
2019-05-31,70.84,$2.76,25.67
2019-02-28,61.5,$2.93,20.96
2018-11-30,67.57,$2.45,27.61
2018-08-31,56.04,$2.74,20.45
2018-05-31,45.12,$2.68,16.81
2018-02-28,47.47,$2.21,21.5
2017-11-30,45.2,$2.46,18.34
2017-08-31,41.88,$1.82,23.04
2017-05-31,45.62,$1.79,25.42
2017-02-28,42.91,$1.82,23.6
2016-11-30,39.56,$1.98,20.02
2016-08-31,44.03,$1.75,25.12
2016-05-31,41.75,$1.85,22.52
2016-02-29,39.94,$1.70,23.54
2015-11-30,36.62,$1.79,20.48
2015-08-31,33.62,$1.62,20.82
2015-05-31,33.13,$1.46,22.7
2015-02-28,31.64,$1.51,20.97
2014-11-30,31.04,$1.42,21.86
2014-08-31,28.94,$1.48,19.56
2014-05-31,29.88,$1.52,19.68
2014-02-28,27.29,$1.52,17.96
2013-11-30,28.21,$1.38,20.49
2013-08-31,27.51,$1.22,22.55
2013-05-31,27.96,$1.25,22.29
2013-02-28,27.09,$1.34,20.24
2012-11-30,25.86,$1.29,20.08
2012-08-31,24.49,$1.53,16.0
2012-05-31,22.35,$1.30,17.14
2012-02-29,19.9,$1.07,18.51
2011-11-30,19.09,$0.91,21.02
2011-08-31,18.62,$0.87,21.46
2011-05-31,19.45,$1.02,19.05
2011-02-28,18.35,$1.04,17.57
2010-11-30,16.85,$1.13,14.9
2010-08-31,15.17,$1.09,13.88
2010-05-31,14.58,$1.16,12.62
2010-02-28,13.93,$1.32,10.56
2009-11-30,13.3,$1.26,10.53
