Idaho Strategic Resources Price to Free Cash Flow Ratio Historical Data,Idaho Strategic Resources Price to Free Cash Flow Ratio Historical Data,Idaho Strategic Resources Price to Free Cash Flow Ratio Historical Data,Idaho Strategic Resources Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,12.9,,41.16
2024-09-30,16.07,$0.31,51.28
2024-06-30,9.86,$0.23,43.59
2024-03-31,8.46,$0.14,60.95
2023-12-31,6.33,$-0.01,0.0
2023-09-30,5.04,$-0.02,0.0
2023-06-30,5.34,$-0.11,0.0
2023-03-31,4.87,$-0.25,0.0
2022-12-31,5.7,$-0.34,0.0
