Bath & Body Works Price to Free Cash Flow Ratio Historical Data,Bath & Body Works Price to Free Cash Flow Ratio Historical Data,Bath & Body Works Price to Free Cash Flow Ratio Historical Data,Bath & Body Works Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,30.1,,10.08
2025-01-31,37.61,$2.99,12.59
2024-10-31,28.2,$2.77,10.2
2024-07-31,36.31,$2.99,12.15
2024-04-30,44.87,$3.21,13.98
2024-01-31,41.97,$2.86,14.65
2023-10-31,28.98,$3.34,8.69
2023-07-31,36.02,$3.41,10.57
2023-04-30,33.93,$3.38,10.04
2023-01-31,44.26,$3.50,12.64
2022-10-31,31.95,$3.11,10.27
2022-07-31,33.85,$2.93,11.54
2022-04-30,50.12,$3.95,12.69
2022-01-31,52.93,$4.69,11.29
2021-10-31,65.09,$5.36,12.13
2021-07-31,75.27,$7.21,10.44
2021-04-30,61.81,$8.46,7.3
2021-01-31,38.23,$6.38,5.99
2020-10-31,30.02,$6.35,4.73
2020-07-31,22.89,$3.69,6.2
2020-04-30,11.15,$2.09,5.35
2020-01-31,21.45,$2.81,7.62
2019-10-31,15.51,$2.93,5.3
2019-07-31,23.26,$2.86,8.12
2019-04-30,22.68,$2.82,8.03
2019-01-31,24.35,$2.68,9.08
2018-10-31,27.79,$2.06,13.49
2018-07-31,26.59,$2.48,10.71
2018-04-30,28.8,$2.13,13.49
2018-01-31,40.81,$2.44,16.76
2017-10-31,34.64,$3.43,10.1
2017-07-31,36.75,$3.06,12.02
2017-04-30,41.35,$3.86,10.72
2017-01-31,46.67,$3.62,12.9
2016-10-31,55.46,$4.10,13.53
2016-07-31,56.32,$4.56,12.34
2016-04-30,59.15,$5.22,11.34
2016-01-31,70.4,$5.04,13.98
2015-10-31,69.9,$3.83,18.27
2015-07-31,58.43,$3.78,15.46
2015-04-30,64.31,$3.44,18.72
2015-01-31,59.27,$3.59,16.49
2014-10-31,50.29,$3.28,15.34
2014-07-31,40.2,$2.31,17.43
2014-04-30,37.37,$1.99,18.79
2014-01-31,35.22,$1.88,18.72
2013-10-31,41.73,$1.87,22.36
2013-07-31,36.98,$2.89,12.8
2013-04-30,33.24,$2.72,12.23
2013-01-31,31.45,$2.57,12.24
2012-10-31,29.38,$2.05,14.31
2012-07-31,28.43,$2.06,13.78
2012-04-30,29.54,$1.91,15.51
2012-01-31,24.75,$2.68,9.25
2011-10-31,23.95,$2.59,9.25
2011-07-31,21.11,$3.01,7.03
2011-04-30,22.2,$3.06,7.27
2011-01-31,15.67,$3.03,5.17
2010-10-31,14.33,$2.71,5.28
2010-07-31,12.43,$2.74,4.53
2010-04-30,12.92,$3.18,4.06
2010-01-31,8.75,$2.97,2.94
2009-10-31,8.02,$1.32,6.09
