Chegg Price to Free Cash Flow Ratio Historical Data,Chegg Price to Free Cash Flow Ratio Historical Data,Chegg Price to Free Cash Flow Ratio Historical Data,Chegg Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.74,,1.52
2024-12-31,1.61,$0.49,3.31
2024-09-30,1.77,$0.73,2.42
2024-06-30,3.16,$0.72,4.42
2024-03-31,7.57,$1.14,6.63
2023-12-31,11.36,$1.35,8.45
2023-09-30,8.92,$1.40,6.37
2023-06-30,8.88,$1.31,6.8
2023-03-31,16.3,$1.11,14.64
2022-12-31,25.27,$1.03,24.46
2022-09-30,21.07,$0.99,21.21
2022-06-30,18.78,$1.23,15.28
2022-03-31,36.28,$1.22,29.76
2021-12-31,30.7,$1.25,24.52
2021-09-30,68.02,$1.23,55.35
2021-06-30,83.11,$1.09,75.91
2021-03-31,85.66,$1.17,73.52
2020-12-31,90.33,$0.83,108.75
2020-09-30,71.44,$0.68,104.87
2020-06-30,67.26,$0.72,93.57
2020-03-31,35.78,$0.63,56.69
2019-12-31,37.91,$0.60,63.58
2019-09-30,29.95,$0.61,48.87
2019-06-30,38.59,$0.47,81.52
2019-03-31,38.12,$0.41,93.98
2018-12-31,28.42,$0.39,73.34
2018-09-30,28.43,$0.39,72.25
2018-06-30,27.79,$0.33,84.91
2018-03-31,20.66,$0.30,68.37
2017-12-31,16.32,$0.32,50.46
2017-09-30,14.84,$0.04,403.26
2017-06-30,12.29,$0.46,26.57
2017-03-31,8.44,$0.51,16.51
2016-12-31,7.38,$0.27,27.46
2016-09-30,7.09,$0.21,34.52
2016-06-30,5.0,$0.19,26.11
2016-03-31,4.46,$-0.09,0.0
2015-12-31,6.73,$-0.03,0.0
2015-09-30,7.21,$0.21,34.63
2015-06-30,7.84,$-0.03,0.0
2015-03-31,7.95,$0.01,787.13
2014-12-31,6.91,$0.10,66.12
2014-09-30,6.24,$-0.55,0.0
