Strattec Security Price to Free Cash Flow Ratio Historical Data,Strattec Security Price to Free Cash Flow Ratio Historical Data,Strattec Security Price to Free Cash Flow Ratio Historical Data,Strattec Security Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,43.54,,5.57
2024-12-31,41.2,$7.82,5.27
2024-09-30,42.66,$4.62,9.24
2024-06-30,25.0,$0.62,40.41
2024-03-31,23.73,$-3.58,0.0
2023-12-31,25.34,$-4.49,0.0
2023-09-30,22.9,$-3.55,0.0
2023-06-30,18.14,$-1.85,0.0
2023-03-31,22.75,$-3.14,0.0
2022-12-31,20.55,$0.22,92.86
2022-09-30,20.8,$2.23,9.32
2022-06-30,33.15,$-0.96,0.0
2022-03-31,37.75,$2.53,14.95
2021-12-31,37.02,$2.20,16.85
2021-09-30,38.9,$2.09,18.64
2021-06-30,44.46,$6.81,6.53
2021-03-31,46.9,$3.17,14.78
2020-12-31,49.36,$3.20,15.4
2020-09-30,19.9,$2.15,9.26
2020-06-30,15.94,$3.50,4.56
2020-03-31,14.47,$5.63,2.57
2019-12-31,22.02,$4.17,5.28
2019-09-30,19.6,$5.26,3.73
2019-06-30,23.58,$3.41,6.91
2019-03-31,28.6,$2.59,11.03
2018-12-31,27.9,$1.73,16.13
2018-09-30,34.54,$-1.64,0.0
2018-06-30,29.47,$-4.63,0.0
2018-03-31,35.5,$-4.06,0.0
2017-12-31,41.67,$-5.64,0.0
2017-09-30,39.0,$-5.08,0.0
2017-06-30,33.63,$-3.78,0.0
2017-03-31,26.3,$-6.53,0.0
2016-12-31,37.95,$-4.58,0.0
2016-09-30,33.13,$-4.90,0.0
2016-06-30,38.12,$-4.20,0.0
2016-03-31,53.51,$-0.67,0.0
2015-12-31,52.55,$-0.06,0.0
2015-09-30,58.54,$0.90,65.32
2015-06-30,63.64,$1.49,42.77
2015-03-31,68.29,$0.20,344.53
2014-12-31,76.24,$-0.24,0.0
2014-09-30,75.01,$2.31,32.47
2014-06-30,59.38,$-0.35,0.0
2014-03-31,66.4,$0.89,74.55
2013-12-31,41.01,$0.80,51.07
2013-09-30,35.12,$-0.77,0.0
2013-06-30,34.11,$0.96,35.56
2013-03-31,25.96,$1.09,23.8
2012-12-31,23.56,$1.69,13.95
2012-09-30,19.16,$1.93,9.92
2012-06-30,18.88,$1.11,16.98
2012-03-31,20.9,$1.57,13.32
2011-12-31,17.74,$-0.27,0.0
2011-09-30,21.32,$-0.20,0.0
2011-06-30,18.63,$-0.32,0.0
2011-03-31,29.6,$0.21,140.15
2010-12-31,29.42,$-0.34,0.0
2010-09-30,21.18,$-0.08,0.0
2010-06-30,18.75,$0.96,19.43
2010-03-31,17.24,$-0.88,0.0
2009-12-31,15.7,$-4.98,0.0
