NIKE Price to Free Cash Flow Ratio Historical Data,NIKE Price to Free Cash Flow Ratio Historical Data,NIKE Price to Free Cash Flow Ratio Historical Data,NIKE Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,71.86,,19.79
2024-11-30,78.37,$3.63,21.59
2024-08-31,82.53,$4.71,17.5
2024-05-31,94.14,$4.33,21.76
2024-02-29,102.57,$4.02,25.54
2023-11-30,108.47,$4.05,26.75
2023-08-31,99.72,$2.84,35.13
2023-05-31,102.87,$3.10,33.15
2023-02-28,115.77,$2.41,48.04
2022-11-30,106.58,$1.13,94.47
2022-08-31,103.13,$2.24,46.12
2022-05-31,114.86,$2.75,41.76
2022-02-28,131.66,$3.34,39.42
2021-11-30,162.88,$4.00,40.71
2021-08-31,158.55,$3.83,41.36
2021-05-31,131.12,$3.70,35.39
2021-02-28,129.25,$2.37,54.57
2020-11-30,128.65,$2.26,56.97
2020-08-31,106.86,$1.25,85.27
2020-05-31,93.95,$0.88,106.88
2020-02-29,84.97,$2.12,40.0
2019-11-30,88.63,$2.09,42.34
2019-08-31,79.9,$2.44,32.76
2019-05-31,72.75,$2.96,24.61
2019-02-28,80.42,$3.05,26.33
2018-11-30,70.47,$2.88,24.49
2018-08-31,76.88,$2.77,27.74
2018-05-31,66.81,$2.37,28.23
2018-02-28,62.18,$1.58,39.47
2017-11-30,55.86,$1.72,32.46
2017-08-31,48.83,$1.51,32.32
2017-05-31,48.66,$1.63,29.89
2017-02-28,52.33,$1.97,26.55
2016-11-30,45.67,$1.81,25.3
2016-08-31,52.44,$1.50,34.94
2016-05-31,50.09,$1.30,38.52
2016-02-29,55.72,$1.21,46.08
2015-11-30,59.69,$1.75,34.14
2015-08-31,50.3,$1.96,25.62
2015-05-31,45.76,$2.10,21.76
2015-02-28,43.6,$2.10,20.77
2014-11-30,44.31,$1.50,29.45
2014-08-31,35.06,$1.21,28.91
2014-05-31,34.22,$1.18,29.02
2014-02-28,34.73,$1.20,28.9
2013-11-30,34.88,$1.07,32.74
2013-08-31,27.69,$1.31,21.15
2013-05-31,27.09,$1.34,20.28
2013-02-28,23.85,$1.07,22.18
2012-11-30,21.17,$1.04,20.43
2012-08-31,21.14,$0.92,23.04
2012-05-31,23.41,$0.67,34.83
2012-02-29,23.2,$0.66,35.17
2011-11-30,20.6,$0.66,31.3
2011-08-31,18.49,$0.63,29.15
2011-05-31,17.95,$0.71,25.25
2011-02-28,18.86,$0.94,20.09
2010-11-30,18.18,$1.06,17.19
2010-08-31,14.72,$1.18,12.48
2010-05-31,15.17,$1.44,10.55
2010-02-28,14.11,$1.34,10.56
2009-11-30,13.49,$1.28,10.52
