Hewlett Packard Enterprise Price to Free Cash Flow Ratio Historical Data,Hewlett Packard Enterprise Price to Free Cash Flow Ratio Historical Data,Hewlett Packard Enterprise Price to Free Cash Flow Ratio Historical Data,Hewlett Packard Enterprise Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,16.23,,10.55
2025-01-31,21.19,$1.54,13.78
2024-10-31,19.49,$1.75,11.12
2024-07-31,19.77,$2.47,8.02
2024-04-30,16.78,$2.69,6.25
2024-01-31,14.98,$2.41,6.22
2023-10-31,14.95,$1.67,8.94
2023-07-31,16.78,$1.55,10.81
2023-04-30,13.73,$1.27,10.83
2023-01-31,15.33,$0.89,17.22
2022-10-31,13.47,$1.57,8.59
2022-07-31,13.32,$1.56,8.55
2022-04-30,14.29,$1.51,9.48
2022-01-31,15.03,$1.94,7.77
2021-10-31,13.38,$2.80,4.78
2021-07-31,13.14,$1.26,10.4
2021-04-30,14.4,$1.59,9.08
2021-01-31,11.01,$1.00,10.99
2020-10-31,7.63,$0.43,17.63
2020-07-31,8.61,$0.89,9.71
2020-04-30,8.68,$0.66,13.06
2020-01-31,11.89,$1.27,9.38
2019-10-31,13.9,$1.27,10.93
2019-07-31,12.18,$1.31,9.3
2019-04-30,13.29,$1.29,10.27
2019-01-31,13.11,$0.83,15.82
2018-10-31,12.72,$0.71,17.93
2018-07-31,12.79,$0.27,46.78
2018-04-30,14.03,$0.10,141.84
2018-01-31,13.44,$0.27,50.11
2017-10-31,11.35,$-0.67,0.0
2017-07-31,14.21,$0.00,0.0
2017-04-30,15.06,$0.26,57.33
2017-01-31,13.74,$0.55,24.81
2016-10-31,13.58,$1.28,10.61
