SpartanNash Price to Free Cash Flow Ratio Historical Data,SpartanNash Price to Free Cash Flow Ratio Historical Data,SpartanNash Price to Free Cash Flow Ratio Historical Data,SpartanNash Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,20.11,,8.45
2024-12-31,18.32,$2.38,7.7
2024-09-30,22.16,$-0.35,0.0
2024-06-30,18.36,$1.41,12.99
2024-03-31,19.55,$0.35,56.12
2023-12-31,21.96,$-0.76,0.0
2023-09-30,20.86,$2.60,8.02
2023-06-30,21.13,$1.54,13.75
2023-03-31,23.05,$0.68,33.75
2022-12-31,27.86,$1.37,20.28
2022-09-30,26.57,$-1.10,0.0
2022-06-30,27.42,$0.96,28.62
2022-03-31,29.79,$3.41,8.73
2021-12-31,23.1,$3.09,7.47
2021-09-30,19.48,$4.92,3.96
2021-06-30,17.01,$3.66,4.65
2021-03-31,17.12,$2.87,5.96
2020-12-31,15.04,$6.93,2.17
2020-09-30,13.98,$5.78,2.42
2020-06-30,17.97,$6.06,2.97
2020-03-31,11.99,$6.39,1.88
2019-12-31,11.72,$3.51,3.34
2019-09-30,9.61,$3.39,2.84
2019-06-30,9.33,$3.37,2.77
2019-03-31,12.48,$2.31,5.41
2018-12-31,13.36,$3.04,4.39
2018-09-30,15.44,$1.82,8.5
2018-06-30,19.46,$1.66,11.7
2018-03-31,13.04,$1.52,8.58
2017-12-31,20.01,$-0.38,0.0
2017-09-30,19.65,$2.18,9.0
2017-06-30,19.22,$1.97,9.75
2017-03-31,25.76,$1.74,14.84
2016-12-31,28.96,$2.43,11.91
2016-09-30,21.1,$2.73,7.72
2016-06-30,22.2,$2.26,9.84
2016-03-31,21.89,$3.13,7.0
2015-12-31,15.55,$4.45,3.49
2015-09-30,18.46,$2.39,7.72
2015-06-30,23.12,$3.59,6.44
2015-03-31,22.33,$2.54,8.77
2014-12-31,18.41,$1.62,11.36
2014-09-30,13.63,$1.72,7.92
2014-06-30,14.64,$0.74,19.71
2014-03-31,16.09,$0.36,45.21
2013-12-31,16.74,$1.22,13.74
2013-09-30,15.15,$1.87,8.1
2013-06-30,12.61,$2.26,5.59
2013-03-31,11.94,$0.98,12.15
2012-12-31,10.4,$-0.19,0.0
2012-09-30,10.32,$-0.93,0.0
2012-06-30,12.15,$-0.23,0.0
2012-03-31,12.09,$0.82,14.75
2011-12-31,12.3,$0.82,15.0
2011-09-30,10.25,$1.23,8.34
2011-06-30,12.88,$1.28,10.1
2011-03-31,9.72,$1.63,5.95
2010-12-31,11.1,$1.63,6.8
2010-09-30,9.47,$1.28,7.38
2010-06-30,8.92,$0.71,12.56
2010-03-31,9.35,$0.75,12.52
2009-12-31,9.23,$0.75,12.36
