WESCO Price to Free Cash Flow Ratio Historical Data,WESCO Price to Free Cash Flow Ratio Historical Data,WESCO Price to Free Cash Flow Ratio Historical Data,WESCO Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,164.97,,8.29
2024-12-31,180.96,$19.89,9.1
2024-09-30,167.62,$15.91,10.54
2024-06-30,157.77,$16.78,9.4
2024-03-31,170.05,$26.78,6.35
2023-12-31,172.19,$7.67,22.46
2023-09-30,142.12,$14.18,10.02
2023-06-30,176.52,$5.09,34.66
2023-03-31,152.0,$-3.23,0.0
2022-12-31,122.84,$-1.69,0.0
2022-09-30,117.13,$-11.46,0.0
2022-06-30,105.08,$-7.69,0.0
2022-03-31,127.69,$-5.38,0.0
2021-12-31,129.11,$0.34,381.42
2021-09-30,113.15,$5.97,18.94
2021-06-30,100.88,$9.72,10.38
2021-03-31,84.9,$12.35,6.87
2020-12-31,77.02,$10.59,7.27
2020-09-30,43.19,$9.95,4.34
2020-06-30,34.45,$7.69,4.48
2020-03-31,22.42,$4.51,4.97
2019-12-31,58.27,$4.53,12.86
2019-09-30,46.87,$4.65,10.09
2019-06-30,49.7,$3.61,13.75
2019-03-31,52.01,$5.23,9.95
2018-12-31,47.1,$5.78,8.14
2018-09-30,60.29,$4.59,13.14
2018-06-30,56.02,$3.09,18.12
2018-03-31,60.88,$2.86,21.31
2017-12-31,66.87,$2.78,24.06
2017-09-30,57.15,$2.67,21.38
2017-06-30,56.22,$4.48,12.56
2017-03-31,68.24,$5.29,12.91
2016-12-31,65.3,$6.01,10.86
2016-09-30,60.33,$6.74,8.95
2016-06-30,50.52,$5.64,8.96
2016-03-31,53.64,$5.22,10.27
2015-12-31,42.86,$5.25,8.16
2015-09-30,45.59,$5.50,8.29
2015-06-30,67.35,$6.19,10.87
2015-03-31,68.57,$5.46,12.56
2014-12-31,74.77,$4.61,16.21
2014-09-30,76.79,$4.96,15.49
2014-06-30,84.75,$4.33,19.57
2014-03-31,81.65,$5.02,16.25
2013-12-31,89.36,$5.66,15.78
2013-09-30,75.09,$4.89,15.35
2013-06-30,66.68,$5.26,12.67
2013-03-31,71.24,$5.59,12.76
2012-12-31,66.16,$5.21,12.69
2012-09-30,56.12,$5.07,11.07
2012-06-30,56.47,$4.59,12.31
2012-03-31,64.08,$3.23,19.81
2011-12-31,52.01,$2.71,19.22
2011-09-30,32.92,$1.99,16.58
2011-06-30,53.07,$1.22,43.52
2011-03-31,61.32,$1.45,42.26
2010-12-31,51.81,$2.45,21.13
2010-09-30,38.55,$1.43,26.94
2010-06-30,33.04,$3.25,10.15
2010-03-31,34.06,$4.96,6.87
2009-12-31,26.5,$6.53,4.06
