Willamette Valley Vineyards Price to Free Cash Flow Ratio Historical Data,Willamette Valley Vineyards Price to Free Cash Flow Ratio Historical Data,Willamette Valley Vineyards Price to Free Cash Flow Ratio Historical Data,Willamette Valley Vineyards Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,6.05,,0.0
2024-09-30,3.48,$-1.31,0.0
2024-06-30,3.93,$-1.51,0.0
2024-03-31,5.24,$-1.38,0.0
2023-12-31,5.36,$-1.27,0.0
2023-09-30,5.84,$-1.14,0.0
2023-06-30,5.7,$-1.77,0.0
2023-03-31,6.05,$-2.93,0.0
2022-12-31,5.97,$-3.52,0.0
2022-09-30,6.17,$-4.06,0.0
2022-06-30,6.27,$-3.49,0.0
2022-03-31,9.05,$-2.46,0.0
2021-12-31,8.66,$-1.50,0.0
2021-09-30,12.71,$-0.27,0.0
2021-06-30,13.68,$0.16,85.23
2021-03-31,9.05,$0.17,52.4
2020-12-31,6.37,$0.14,45.53
2020-09-30,6.15,$0.08,78.24
2020-06-30,6.04,$-0.09,0.0
2020-03-31,4.85,$-0.03,0.0
2019-12-31,6.93,$-0.05,0.0
2019-09-30,6.92,$-0.22,0.0
2019-06-30,6.92,$-0.04,0.0
2019-03-31,7.21,$-0.10,0.0
2018-12-31,6.89,$-0.35,0.0
2018-09-30,7.91,$-0.44,0.0
2018-06-30,8.55,$-0.54,0.0
2018-03-31,7.94,$-0.55,0.0
2017-12-31,8.25,$-0.04,0.0
2017-09-30,7.91,$-0.22,0.0
2017-06-30,8.09,$-0.14,0.0
2017-03-31,8.0,$-0.17,0.0
2016-12-31,8.01,$-0.25,0.0
2016-09-30,8.0,$0.09,87.14
2016-06-30,8.39,$-0.01,0.0
2016-03-31,6.92,$0.04,185.03
2015-12-31,7.08,$0.05,142.17
2015-09-30,6.67,$0.04,179.89
2015-06-30,6.92,$0.18,37.94
2015-03-31,5.93,$0.30,19.54
2014-12-31,5.8,$0.10,59.92
2014-09-30,5.51,$-0.36,0.0
2014-06-30,5.91,$-0.86,0.0
2014-03-31,6.49,$-1.07,0.0
2013-12-31,6.29,$-0.88,0.0
2013-09-30,5.74,$-0.42,0.0
2013-06-30,4.47,$0.03,136.28
2013-03-31,4.6,$0.12,36.86
2012-12-31,3.69,$0.21,17.55
2012-09-30,3.92,$0.25,15.37
2012-06-30,3.52,$0.18,20.05
2012-03-31,3.15,$0.22,14.44
2011-12-31,3.0,$0.20,14.84
2011-09-30,3.09,$-0.12,0.0
2011-06-30,3.09,$-0.02,0.0
2011-03-31,3.2,$0.12,25.76
2010-12-31,3.51,0,0.0
2010-09-30,3.46,$0.35,9.82
2010-06-30,3.5,$0.10,33.52
2010-03-31,3.54,$-0.22,0.0
2009-12-31,3.5,$-0.26,0.0
