GEN Restaurant Price to Free Cash Flow Ratio Historical Data,GEN Restaurant Price to Free Cash Flow Ratio Historical Data,GEN Restaurant Price to Free Cash Flow Ratio Historical Data,GEN Restaurant Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,6.08,,0.0
2024-12-31,7.48,$-1.28,0.0
2024-09-30,8.44,$-1.06,0.0
2024-06-30,9.06,$-0.01,0.0
2024-03-31,11.68,$1.05,11.15
