Takeda Pharmaceutical Price to Free Cash Flow Ratio Historical Data,Takeda Pharmaceutical Price to Free Cash Flow Ratio Historical Data,Takeda Pharmaceutical Price to Free Cash Flow Ratio Historical Data,Takeda Pharmaceutical Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,15.16,,11.48
2024-06-30,12.65,$1.32,9.58
2024-03-31,13.58,$1.20,11.32
2023-12-31,13.67,$1.34,10.18
2023-09-30,14.82,$1.91,7.75
2023-06-30,14.75,$1.98,7.46
2023-03-31,15.47,$1.97,7.84
2022-12-31,14.37,$2.29,6.28
2022-09-30,11.95,$2.39,5.01
2022-06-30,12.61,$2.53,4.98
2022-03-31,12.86,$2.83,4.55
2021-12-31,11.97,$2.91,4.11
2021-09-30,14.39,$2.67,5.39
2021-06-30,14.43,$2.86,5.05
2021-03-31,15.66,$2.83,5.54
2020-12-31,15.27,$2.23,6.86
2020-09-30,14.96,$1.91,7.81
2020-06-30,14.69,$1.73,8.49
2020-03-31,12.44,$1.63,7.63
2019-12-31,15.74,$2.11,7.47
