Passage Bio Price to Free Cash Flow Ratio Historical Data,Passage Bio Price to Free Cash Flow Ratio Historical Data,Passage Bio Price to Free Cash Flow Ratio Historical Data,Passage Bio Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.48,,0.0
2024-12-31,0.57,$-0.79,0.0
2024-09-30,0.7,$-1.00,0.0
2024-06-30,0.79,$-1.23,0.0
2024-03-31,1.35,$-1.36,0.0
2023-12-31,1.01,$-1.43,0.0
2023-09-30,0.66,$-1.53,0.0
2023-06-30,0.94,$-1.61,0.0
2023-03-31,0.96,$-1.79,0.0
2022-12-31,1.38,$-2.21,0.0
2022-09-30,1.25,$-2.49,0.0
2022-06-30,2.36,$-2.93,0.0
2022-03-31,3.1,$-2.93,0.0
2021-12-31,6.35,$-2.71,0.0
2021-09-30,9.96,$-2.96,0.0
2021-06-30,13.24,$-2.48,0.0
2021-03-31,17.48,$-1.48,0.0
2020-12-31,25.57,$-2.11,0.0
