1stdibs Price to Free Cash Flow Ratio Historical Data,1stdibs Price to Free Cash Flow Ratio Historical Data,1stdibs Price to Free Cash Flow Ratio Historical Data,1stdibs Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.03,,0.0
2024-12-31,3.54,$-0.09,0.0
2024-09-30,4.41,$-0.23,0.0
2024-06-30,4.49,$-0.27,0.0
2024-03-31,5.96,$-0.35,0.0
2023-12-31,4.68,$-0.34,0.0
2023-09-30,3.64,$-0.44,0.0
2023-06-30,3.74,$-0.48,0.0
2023-03-31,3.97,$-0.64,0.0
2022-12-31,5.08,$-0.73,0.0
2022-09-30,6.29,$-0.61,0.0
2022-06-30,5.69,$-0.75,0.0
2022-03-31,7.99,$-0.34,0.0
