Lipella Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Lipella Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Lipella Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Lipella Pharmaceuticals Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.6,,0.0
2024-09-30,0.47,$-3.47,0.0
2024-06-30,0.45,$-4.23,0.0
2024-03-31,0.69,$-4.24,0.0
2023-12-31,1.02,$-4.22,0.0
2023-09-30,1.5,$-7.00,0.0
