Acco Brands Price to Free Cash Flow Ratio Historical Data,Acco Brands Price to Free Cash Flow Ratio Historical Data,Acco Brands Price to Free Cash Flow Ratio Historical Data,Acco Brands Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.56,,3.21
2024-12-31,5.25,$1.42,3.69
2024-09-30,5.4,$1.47,3.67
2024-06-30,4.57,$1.68,2.72
2024-03-31,5.38,$1.77,3.04
2023-12-31,5.75,$1.23,4.66
2023-09-30,5.35,$1.59,3.35
2023-06-30,4.78,$1.32,3.62
2023-03-31,4.82,$1.57,3.07
2022-12-31,4.99,$0.72,6.96
2022-09-30,4.31,$0.89,4.84
2022-06-30,5.68,$1.01,5.61
2022-03-31,6.89,$0.79,8.7
2021-12-31,7.05,$1.43,4.95
2021-09-30,7.27,$1.29,5.66
2021-06-30,7.25,$1.22,5.94
2021-03-31,7.04,$0.92,7.62
2020-12-31,7.0,$1.08,6.47
2020-09-30,4.77,$1.26,3.77
2020-06-30,5.78,$2.17,2.66
2020-03-31,4.07,$2.04,1.99
2019-12-31,7.44,$1.70,4.38
2019-09-30,7.79,$1.49,5.23
2019-06-30,6.17,$0.45,13.77
2019-03-31,6.66,$0.36,18.57
2018-12-31,5.24,$1.50,3.48
2018-09-30,8.73,$1.28,6.82
2018-06-30,10.65,$1.43,7.44
2018-03-31,9.61,$1.55,6.21
2017-12-31,9.3,$1.61,5.79
2017-09-30,9.07,$1.33,6.83
2017-06-30,8.88,$1.37,6.48
2017-03-31,10.02,$1.45,6.89
2016-12-31,9.94,$1.37,7.27
2016-09-30,7.35,$1.78,4.13
2016-06-30,7.87,$1.34,5.89
2016-03-31,6.84,$1.40,4.87
2015-12-31,5.43,$1.32,4.1
2015-09-30,5.39,$1.29,4.17
2015-06-30,5.92,$1.23,4.83
2015-03-31,6.33,$1.25,5.05
2014-12-31,6.87,$1.25,5.47
2014-09-30,5.26,$0.99,5.31
2014-06-30,4.88,$1.09,4.49
2014-03-31,4.69,$1.09,4.29
2013-12-31,5.12,$1.42,3.61
2013-09-30,5.06,$1.32,3.82
2013-06-30,4.85,$1.75,2.77
2013-03-31,5.09,$1.18,4.32
2012-12-31,5.59,$-0.36,0.0
2012-09-30,4.94,$0.59,8.32
2012-06-30,7.88,$-0.33,0.0
2012-03-31,9.46,$1.17,8.09
2011-12-31,7.35,$0.86,8.52
2011-09-30,3.63,$0.62,5.82
2011-06-30,5.98,$0.18,32.92
2011-03-31,7.27,$0.16,44.46
2010-12-31,6.49,$0.78,8.29
2010-09-30,4.38,$0.32,13.85
2010-06-30,3.8,$1.22,3.12
2010-03-31,5.84,$1.21,4.81
2009-12-31,5.55,$1.13,4.89
