PRA Price to Free Cash Flow Ratio Historical Data,PRA Price to Free Cash Flow Ratio Historical Data,PRA Price to Free Cash Flow Ratio Historical Data,PRA Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,20.41,,0.0
2024-12-31,20.89,$-2.49,0.0
2024-09-30,22.36,$-3.05,0.0
2024-06-30,19.66,$-3.11,0.0
2024-03-31,26.08,$-3.20,0.0
2023-12-31,26.2,$-2.56,0.0
2023-09-30,19.21,$-2.50,0.0
2023-06-30,22.85,$-0.63,0.0
2023-03-31,38.96,$-0.38,0.0
2022-12-31,33.78,$0.21,161.55
2022-09-30,32.86,$0.58,57.09
2022-06-30,36.36,$-0.01,0.0
2022-03-31,45.08,$0.60,75.47
2021-12-31,50.21,$1.63,30.88
2021-09-30,42.14,$0.84,50.34
2021-06-30,38.47,$0.66,58.15
2021-03-31,37.07,$2.25,16.5
2020-12-31,39.66,$2.71,14.61
2020-09-30,39.95,$3.88,10.31
2020-06-30,38.66,$4.41,8.77
2020-03-31,27.72,$3.16,8.78
2019-12-31,36.3,$2.53,14.34
2019-09-30,33.79,$1.42,23.76
2019-06-30,28.14,$1.46,19.34
2019-03-31,26.81,$0.97,27.63
2018-12-31,24.37,$1.33,18.34
2018-09-30,36.0,$1.22,29.41
2018-06-30,38.55,$0.73,52.76
2018-03-31,38.0,$-0.21,0.0
2017-12-31,33.2,$-0.16,0.0
2017-09-30,28.65,$1.57,18.3
2017-06-30,37.9,$2.08,18.22
2017-03-31,33.15,$4.62,7.17
2016-12-31,39.1,$4.13,9.46
2016-09-30,34.54,$3.84,9.0
2016-06-30,24.14,$3.62,6.67
2016-03-31,29.39,$2.80,10.49
2015-12-31,34.69,$3.90,8.91
2015-09-30,52.92,$4.11,12.88
2015-06-30,62.31,$4.80,12.97
2015-03-31,54.32,$5.22,10.41
2014-12-31,57.93,$4.83,11.99
2014-09-30,52.23,$4.00,13.05
2014-06-30,59.53,$4.23,14.07
2014-03-31,57.86,$3.88,14.92
2013-12-31,52.84,$4.11,12.85
2013-09-30,59.93,$3.89,15.4
2013-06-30,51.21,$3.86,13.27
2013-03-31,42.31,$3.14,13.47
2012-12-31,35.62,$2.42,14.72
2012-09-30,34.81,$2.60,13.38
2012-06-30,30.42,$1.88,16.17
2012-03-31,23.91,$2.75,8.68
2011-12-31,22.51,$3.19,7.07
2011-09-30,20.74,$3.06,6.77
2011-06-30,28.26,$3.06,9.23
2011-03-31,28.38,$2.91,9.74
2010-12-31,25.07,$2.65,9.47
2010-09-30,21.55,$2.32,9.27
2010-06-30,22.26,$2.13,10.43
2010-03-31,18.29,$1.94,9.44
2009-12-31,14.95,$1.74,8.58
