Absci Price to Free Cash Flow Ratio Historical Data,Absci Price to Free Cash Flow Ratio Historical Data,Absci Price to Free Cash Flow Ratio Historical Data,Absci Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.04,,0.0
2024-12-31,2.62,$-0.65,0.0
2024-09-30,3.82,$-0.65,0.0
2024-06-30,3.08,$-0.58,0.0
2024-03-31,5.68,$-0.66,0.0
2023-12-31,4.2,$-0.71,0.0
2023-09-30,1.32,$-0.76,0.0
2023-06-30,1.52,$-0.90,0.0
2023-03-31,1.75,$-0.98,0.0
2022-12-31,2.1,$-1.07,0.0
2022-09-30,3.13,$-1.85,0.0
2022-06-30,3.32,$-2.59,0.0
