COSCIENS Biopharma Price to Free Cash Flow Ratio Historical Data,COSCIENS Biopharma Price to Free Cash Flow Ratio Historical Data,COSCIENS Biopharma Price to Free Cash Flow Ratio Historical Data,COSCIENS Biopharma Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.43,,0.0
2024-09-30,3.75,$-17.23,0.0
2024-06-30,4.42,$-15.21,0.0
2024-03-31,8.76,$-14.31,0.0
2023-12-31,7.44,$-14.12,0.0
2023-09-30,10.0,$-3.67,0.0
2023-06-30,10.3,$-6.97,0.0
2023-03-31,10.48,$-13.42,0.0
2022-12-31,12.72,$-11.28,0.0
2022-09-30,15.34,$-10.88,0.0
2022-06-30,19.68,$-8.85,0.0
2022-03-31,36.76,$-7.59,0.0
2021-12-31,35.53,$-7.49,0.0
2021-09-30,75.0,$-3.33,0.0
2021-06-30,87.69,$6.70,13.08
2021-03-31,114.0,$0.03,3584.91
2020-12-31,42.55,$-10.04,0.0
2020-09-30,35.1,$-27.11,0.0
2020-06-30,80.2,$-51.93,0.0
2020-03-31,51.2,$-54.20,0.0
2019-12-31,91.0,$-61.31,0.0
2019-09-30,103.0,$-74.75,0.0
2019-06-30,295.0,$42.70,6.91
2019-03-31,465.0,$18.52,25.11
2018-06-30,195.0,$11.83,16.48
2018-03-31,146.0,$2.14,68.18
2017-12-31,236.0,$-152.12,0.0
2017-09-30,203.0,$-186.83,0.0
2017-06-30,100.0,$-219.01,0.0
2017-03-31,300.0,$-244.63,0.0
2016-12-31,360.0,$-280.94,0.0
2016-09-30,344.0,$420.85,0.82
2016-06-30,326.0,$999.95,0.33
2016-03-31,332.0,$806.49,0.41
2015-12-31,448.0,$-457.12,0.0
2015-09-30,880.0,"$-2,058.75",0.0
2015-06-30,2810.0,"$-3,597.53",0.0
2015-03-31,5362.0,"$-4,402.25",0.0
2014-12-31,6000.0,"$-4,790.77",0.0
2014-09-30,13400.0,"$-1,415.29",0.0
2014-06-30,11610.0,"$-2,432.82",0.0
2014-03-31,11700.0,"$-4,814.90",0.0
2013-12-31,13800.0,"$-5,421.62",0.0
2013-09-30,15100.0,"$-20,776.67",0.0
2013-06-30,18600.0,"$-18,742.18",0.0
2013-03-31,18800.0,"$-15,297.92",0.0
2012-12-31,23800.0,"$-12,950.00",0.0
2012-09-30,42000.0,$-0.07,0.0
2012-06-30,30300.0,$-0.29,0.0
2012-03-31,128400.0,$-0.34,0.0
2011-12-31,92400.0,$-0.25,0.0
2011-09-30,91200.0,$-0.25,0.0
2011-06-30,132000.0,$-0.20,0.0
2011-03-31,116400.0,$-0.18,0.0
2010-12-31,103200.0,$-0.35,0.0
2010-09-30,78000.0,$-0.44,0.0
2010-06-30,69000.0,$-0.63,0.0
2010-03-31,47400.0,$-0.86,0.0
2009-12-31,48414.0,$-0.41,0.0
