Exicure Price to Free Cash Flow Ratio Historical Data,Exicure Price to Free Cash Flow Ratio Historical Data,Exicure Price to Free Cash Flow Ratio Historical Data,Exicure Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,13.56,,0.0
2024-09-30,3.47,$-1.58,0.0
2024-06-30,0.32,$-2.13,0.0
2024-03-31,0.6,$-3.59,0.0
2023-12-31,0.58,$-5.89,0.0
2023-09-30,0.72,$-15.18,0.0
2023-06-30,1.31,$-18.83,0.0
2023-03-31,0.87,$-25.11,0.0
2022-12-31,1.15,$-38.39,0.0
2022-09-30,1.57,$-52.33,0.0
2022-06-30,2.16,$-39.77,0.0
2022-03-31,5.99,$-50.71,0.0
2021-12-31,6.06,$-60.57,0.0
2021-09-30,36.0,$-57.36,0.0
2021-06-30,45.0,$-80.57,0.0
2021-03-31,65.4,$-84.44,0.0
2020-12-31,53.1,$-73.08,0.0
2020-09-30,52.5,$-18.34,0.0
2020-06-30,73.2,$-36.95,0.0
