Cherry Hill Mortgage Investment Price to Free Cash Flow Ratio Historical Data,Cherry Hill Mortgage Investment Price to Free Cash Flow Ratio Historical Data,Cherry Hill Mortgage Investment Price to Free Cash Flow Ratio Historical Data,Cherry Hill Mortgage Investment Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.59,,0.0
2024-12-31,2.64,$-0.15,0.0
2024-09-30,3.63,$0.31,11.62
2024-06-30,3.49,$0.80,4.38
2024-03-31,3.26,$0.70,4.67
2023-12-31,3.57,$1.48,2.41
2023-09-30,3.17,$1.63,1.95
2023-06-30,3.96,$1.66,2.38
2023-03-31,4.39,$2.42,1.81
2022-12-31,4.4,$3.03,1.45
2022-09-30,3.56,$2.49,1.43
2022-06-30,4.41,$2.59,1.7
2022-03-31,5.1,$2.68,1.9
2021-12-31,5.28,$2.67,1.98
2021-09-30,5.49,$3.01,1.82
2021-06-30,5.92,$3.55,1.67
2021-03-31,5.46,$3.01,1.82
2020-12-31,5.19,$3.69,1.41
2020-09-30,4.95,$4.39,1.13
2020-06-30,4.83,$3.89,1.24
2020-03-31,3.23,$4.90,0.66
2019-12-31,7.17,$4.28,1.67
2019-09-30,6.26,$3.97,1.58
2019-06-30,7.42,$3.52,2.11
2019-03-31,7.74,$3.68,2.1
2018-12-31,7.68,$4.23,1.82
2018-09-30,7.65,$4.85,1.58
2018-06-30,7.35,$4.45,1.65
2018-03-31,7.03,$-28.72,0.0
2017-12-31,7.01,$3.83,1.83
2017-09-30,6.87,$3.30,2.08
2017-06-30,6.82,$4.37,1.56
2017-03-31,6.15,$38.04,0.16
2016-12-31,6.38,$4.58,1.39
2016-09-30,5.8,$4.41,1.32
2016-06-30,5.13,$4.75,1.08
2016-03-31,4.52,$3.01,1.5
2015-12-31,4.02,$3.11,1.29
2015-09-30,4.53,$2.86,1.58
2015-06-30,4.68,$2.14,2.19
2015-03-31,4.94,$2.33,2.12
2014-12-31,5.04,$3.53,1.43
2014-09-30,4.96,$-0.29,0.0
