Patriot National Bancorp Price to Free Cash Flow Ratio Historical Data,Patriot National Bancorp Price to Free Cash Flow Ratio Historical Data,Patriot National Bancorp Price to Free Cash Flow Ratio Historical Data,Patriot National Bancorp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.06,,0.85
2024-09-30,1.9,$1.24,1.53
2024-06-30,1.87,$-1.75,0.0
2024-03-31,3.75,$-2.29,0.0
2023-12-31,3.83,$-2.81,0.0
2023-09-30,7.4,$-0.91,0.0
2023-06-30,7.88,$3.20,2.46
2023-03-31,8.82,$2.71,3.26
2022-12-31,10.6,$1.67,6.34
2022-09-30,11.07,$1.13,9.76
2022-06-30,12.17,$1.47,8.26
2022-03-31,16.93,$1.33,12.75
2021-12-31,15.55,$2.18,7.12
2021-09-30,10.43,$2.68,3.89
2021-06-30,9.13,$2.79,3.28
2021-03-31,10.48,$2.42,4.33
2020-12-31,9.94,$1.58,6.3
2020-09-30,6.92,$-2.91,0.0
2020-06-30,5.9,$-3.44,0.0
2020-03-31,6.62,$-4.39,0.0
2019-12-31,12.76,$-3.18,0.0
2019-09-30,12.75,$-0.51,0.0
2019-06-30,15.38,$-0.66,0.0
2019-03-31,15.49,$0.90,17.27
2018-12-31,14.21,$1.05,13.47
2018-09-30,22.42,$1.71,13.12
2018-06-30,19.99,$2.08,9.62
2018-03-31,19.31,$1.47,13.18
2017-12-31,17.76,$1.09,16.36
2017-09-30,16.77,$0.27,62.91
2017-06-30,16.35,$-0.26,0.0
2017-03-31,14.96,$0.05,304.63
2016-12-31,13.96,$0.25,55.41
2016-09-30,13.2,$0.98,13.44
2016-06-30,13.07,$0.08,158.8
2016-03-31,12.93,$-0.09,0.0
2015-12-31,14.46,$-0.14,0.0
2015-09-30,16.72,$3.86,4.33
2015-06-30,15.51,$4.75,3.27
2015-03-31,15.34,$3.63,4.22
2014-12-31,16.32,$3.64,4.49
2014-09-30,17.29,$-2.01,0.0
2014-06-30,14.11,$0.46,30.41
2014-03-31,12.72,$-1.05,0.0
2013-12-31,10.34,$-3.38,0.0
2013-09-30,13.71,$1.39,9.9
2013-06-30,13.02,$-5.53,0.0
2013-03-31,15.8,$-3.08,0.0
2012-12-31,12.42,$-0.98,0.0
2012-09-30,15.9,$-5.14,0.0
2012-06-30,16.0,$-1.26,0.0
2012-03-31,18.39,$-0.37,0.0
2011-12-31,17.39,$-0.43,0.0
2011-09-30,17.99,$-2.12,0.0
2011-06-30,19.78,$-0.41,0.0
2011-03-31,21.86,$-2.34,0.0
2010-12-31,20.87,$-2.59,0.0
2010-09-30,19.58,$-7.32,0.0
2010-06-30,16.6,$-14.77,0.0
2010-03-31,16.5,$-19.75,0.0
2009-12-31,15.4,$-21.26,0.0
