IF Bancorp Price to Free Cash Flow Ratio Historical Data,IF Bancorp Price to Free Cash Flow Ratio Historical Data,IF Bancorp Price to Free Cash Flow Ratio Historical Data,IF Bancorp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,24.22,,25.72
2024-12-31,23.3,$0.94,24.74
2024-09-30,20.17,$1.05,19.2
2024-06-30,16.02,$0.68,23.62
2024-03-31,16.47,$0.63,26.0
2023-12-31,15.68,$0.34,45.81
2023-09-30,14.57,$0.54,27.09
2023-06-30,13.94,$0.16,86.33
2023-03-31,15.0,$0.77,19.49
2022-12-31,16.44,$1.66,9.89
2022-09-30,18.08,$2.53,7.14
2022-06-30,17.92,$2.64,6.79
2022-03-31,22.31,$2.42,9.21
2021-12-31,24.34,$2.50,9.75
2021-09-30,21.25,$1.77,11.97
2021-06-30,21.19,$2.14,9.9
2021-03-31,20.0,$2.07,9.65
2020-12-31,20.33,$1.77,11.46
2020-09-30,14.28,$1.98,7.19
2020-06-30,15.77,$2.14,7.37
2020-03-31,14.62,$2.00,7.32
2019-12-31,20.85,$1.95,10.67
2019-09-30,19.02,$1.99,9.58
2019-06-30,18.81,$1.33,14.16
2019-03-31,17.92,$1.46,12.25
2018-12-31,17.99,$1.17,15.33
2018-09-30,20.61,$0.72,28.44
2018-06-30,21.26,$-0.00,0.0
2018-03-31,17.79,$-0.60,0.0
2017-12-31,17.4,$-0.12,0.0
2017-09-30,17.17,$-0.07,0.0
2017-06-30,17.17,$1.20,14.29
2017-03-31,17.52,$1.41,12.4
2016-12-31,16.23,$1.39,11.65
2016-09-30,16.35,$1.33,12.29
2016-06-30,16.02,$1.37,11.7
2016-03-31,16.17,$1.48,10.94
2015-12-31,16.09,$1.39,11.55
2015-09-30,14.91,$1.50,9.97
2015-06-30,14.33,$1.33,10.77
2015-03-31,14.52,$1.36,10.65
2014-12-31,14.62,$1.25,11.74
2014-09-30,14.47,$1.23,11.76
2014-06-30,14.22,$1.27,11.2
2014-03-31,14.02,$1.40,10.02
2013-12-31,14.35,$1.41,10.2
2013-09-30,13.84,$1.42,9.78
2013-06-30,13.09,$1.32,9.95
2013-03-31,13.07,$1.26,10.38
2012-12-31,11.82,$1.12,10.56
2012-09-30,11.47,$1.28,8.98
2012-06-30,11.34,$1.23,9.23
