General Motors Price to Free Cash Flow Ratio Historical Data,General Motors Price to Free Cash Flow Ratio Historical Data,General Motors Price to Free Cash Flow Ratio Historical Data,General Motors Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,49.44,,2.76
2024-12-31,53.27,$17.88,2.98
2024-09-30,44.74,$17.42,2.57
2024-06-30,46.24,$15.77,2.93
2024-03-31,45.13,$16.97,2.66
2023-12-31,35.64,$16.80,2.12
2023-09-30,32.62,$25.81,1.26
2023-06-30,38.05,$17.83,2.13
2023-03-31,36.1,$16.96,2.13
2022-12-31,33.03,$14.47,2.28
2022-09-30,31.44,$15.34,2.05
2022-06-30,31.05,$11.92,2.6
2022-03-31,42.76,$15.07,2.84
2021-12-31,57.31,$15.04,3.81
2021-09-30,51.52,$15.33,3.36
2021-06-30,57.84,$19.89,2.91
2021-03-31,56.17,$15.06,3.73
2020-12-31,40.7,$17.18,2.37
2020-09-30,28.92,$7.46,3.88
2020-06-30,24.73,$10.23,2.42
2020-03-31,20.31,$16.11,1.26
2019-12-31,35.33,$14.41,2.45
2019-09-30,35.79,$16.18,2.21
2019-06-30,36.44,$13.12,2.78
2019-03-31,34.71,$12.41,2.8
2018-12-31,30.99,$12.13,2.55
2018-09-30,30.86,$12.00,2.57
2018-06-30,35.72,$10.95,3.26
2018-03-31,32.66,$9.90,3.3
2017-12-31,36.48,$10.42,3.5
2017-09-30,35.61,$7.53,4.73
2017-06-30,30.49,$8.93,3.41
2017-03-31,30.53,$9.29,3.29
2016-12-31,29.78,$6.86,4.34
2016-09-30,26.86,$6.39,4.2
2016-06-30,23.65,$4.03,5.87
2016-03-31,25.93,$2.95,8.78
2015-12-31,27.71,$3.69,7.51
2015-09-30,24.21,$3.57,6.78
2015-06-30,26.56,$2.28,11.67
2015-03-31,29.58,$1.17,25.25
2014-12-31,27.32,$2.08,13.16
2014-09-30,24.77,$1.83,13.51
2014-06-30,27.9,$3.31,8.42
2014-03-31,26.24,$3.89,6.74
2013-12-31,30.88,$3.02,10.22
2013-09-30,27.18,$1.47,18.45
2013-06-30,25.17,$1.21,20.81
2013-03-31,21.02,$0.47,44.52
2012-12-31,21.79,$1.51,14.38
2012-09-30,17.19,$1.87,9.2
2012-06-30,14.9,$1.25,11.91
2012-03-31,19.38,$2.38,8.13
2011-12-31,15.32,$1.15,13.33
2011-09-30,15.25,$3.29,4.63
