Seneca Foods Price to Free Cash Flow Ratio Historical Data,Seneca Foods Price to Free Cash Flow Ratio Historical Data,Seneca Foods Price to Free Cash Flow Ratio Historical Data,Seneca Foods Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,86.74,,2.4
2024-12-31,79.26,$36.18,2.19
2024-09-30,62.33,$5.37,11.6
2024-06-30,57.4,$-12.44,0.0
2024-03-31,56.9,$-16.20,0.0
2023-12-31,52.44,$-25.68,0.0
2023-09-30,53.83,$-21.38,0.0
2023-06-30,32.68,$-29.67,0.0
2023-03-31,52.27,$-36.05,0.0
2022-12-31,60.95,$-29.20,0.0
2022-09-30,50.44,$-15.04,0.0
2022-06-30,55.54,$-8.35,0.0
2022-03-31,51.54,$-2.65,0.0
2021-12-31,47.95,$-7.57,0.0
2021-09-30,48.22,$-2.71,0.0
2021-06-30,51.08,$4.35,11.73
2021-03-31,47.09,$12.20,3.86
2020-12-31,39.9,$14.47,2.76
2020-09-30,35.73,$8.90,4.02
2020-06-30,33.81,$12.87,2.63
2020-03-31,39.78,$6.60,6.02
2019-12-31,40.79,$2.60,15.69
2019-09-30,31.18,$3.65,8.55
2019-06-30,27.83,$-0.14,0.0
2019-03-31,24.6,$6.11,4.03
2018-12-31,28.22,$10.49,2.69
2018-09-30,33.7,$5.11,6.59
2018-06-30,27.0,$2.85,9.48
2018-03-31,27.7,$-4.69,0.0
2017-12-31,30.75,$-2.11,0.0
2017-09-30,34.5,$0.58,59.71
2017-06-30,31.05,$-0.78,0.0
2017-03-31,36.1,$-0.79,0.0
2016-12-31,40.05,$1.45,27.64
2016-09-30,28.24,$4.56,6.19
2016-06-30,36.21,$-0.13,0.0
2016-03-31,34.74,$2.94,11.8
2015-12-31,28.98,$0.95,30.4
2015-09-30,26.35,$1.94,13.6
2015-06-30,27.77,$1.63,17.06
2015-03-31,29.81,$-0.63,0.0
2014-12-31,27.03,$-0.03,0.0
2014-09-30,28.6,$0.16,181.36
2014-06-30,30.6,$2.88,10.64
2014-03-31,31.48,$3.57,8.82
2013-12-31,31.89,$2.65,12.04
2013-09-30,30.09,$1.11,27.18
2013-06-30,30.68,$0.73,42.09
2013-03-31,33.02,$1.18,27.89
2012-12-31,30.4,$5.13,5.92
2012-09-30,29.86,$4.14,7.21
2012-06-30,26.9,$2.36,11.4
2012-03-31,26.34,$1.23,21.5
2011-12-31,25.82,$-1.29,0.0
2011-09-30,19.8,$-3.09,0.0
2011-06-30,25.58,$0.21,119.87
2011-03-31,29.87,$-0.22,0.0
2010-12-31,26.98,$4.17,6.47
2010-09-30,26.19,$0.77,34.08
2010-06-30,32.26,$0.27,119.57
2010-03-31,29.12,$1.74,16.73
2009-12-31,23.87,$-3.44,0.0
