Cronos Group Price to Free Cash Flow Ratio Historical Data,Cronos Group Price to Free Cash Flow Ratio Historical Data,Cronos Group Price to Free Cash Flow Ratio Historical Data,Cronos Group Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.82,,108.98
2024-12-31,2.02,$0.02,120.96
2024-09-30,2.19,$0.05,46.9
2024-06-30,2.33,$0.03,70.82
2024-03-31,2.61,$-0.00,0.0
2023-12-31,2.09,$-0.12,0.0
2023-09-30,2.0,$-0.23,0.0
2023-06-30,1.97,$-0.26,0.0
2023-03-31,1.94,$-0.28,0.0
2022-12-31,2.54,$-0.25,0.0
2022-09-30,2.82,$-0.28,0.0
2022-06-30,2.82,$-0.33,0.0
2022-03-31,3.89,$-0.39,0.0
2021-12-31,3.92,$-0.44,0.0
2021-09-30,5.66,$-0.50,0.0
2021-06-30,8.6,$-0.49,0.0
2021-03-31,9.46,$-0.53,0.0
2020-12-31,6.94,$-0.50,0.0
2020-09-30,5.01,$-0.53,0.0
2020-06-30,6.01,$-0.55,0.0
2020-03-31,5.67,$-0.53,0.0
2019-12-31,7.67,$-0.49,0.0
2019-09-30,9.05,$-0.41,0.0
2019-06-30,15.98,$-0.55,0.0
2019-03-31,18.43,$-0.54,0.0
2018-12-31,10.39,$-0.56,0.0
