Promis Neurosciences Price to Free Cash Flow Ratio Historical Data,Promis Neurosciences Price to Free Cash Flow Ratio Historical Data,Promis Neurosciences Price to Free Cash Flow Ratio Historical Data,Promis Neurosciences Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.66,,0.0
2024-09-30,1.25,$-0.92,0.0
2024-06-30,1.5,$-0.93,0.0
2024-03-31,1.91,$-1.11,0.0
2023-12-31,1.15,$-0.88,0.0
2023-09-30,1.98,$-1.11,0.0
2023-06-30,3.88,$-2.82,0.0
