CytomX Therapeutics Price to Free Cash Flow Ratio Historical Data,CytomX Therapeutics Price to Free Cash Flow Ratio Historical Data,CytomX Therapeutics Price to Free Cash Flow Ratio Historical Data,CytomX Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.67,,0.0
2024-12-31,1.03,$-1.02,0.0
2024-09-30,1.18,$-1.12,0.0
2024-06-30,1.22,$-1.06,0.0
2024-03-31,2.18,$-1.23,0.0
2023-12-31,1.55,$-0.77,0.0
2023-09-30,1.29,$-0.46,0.0
2023-06-30,1.72,$-0.79,0.0
2023-03-31,1.51,$-0.93,0.0
2022-12-31,1.6,$-1.71,0.0
2022-09-30,1.45,$-2.20,0.0
2022-06-30,1.83,$-2.14,0.0
2022-03-31,2.67,$-2.02,0.0
2021-12-31,4.33,$-1.88,0.0
2021-09-30,5.09,$-1.75,0.0
2021-06-30,6.33,$-1.85,0.0
2021-03-31,7.73,$0.64,12.15
2020-12-31,6.55,$0.06,102.5
2020-09-30,6.65,$-0.22,0.0
2020-06-30,8.33,$-0.19,0.0
2020-03-31,7.67,$-3.35,0.0
2019-12-31,8.31,$-3.18,0.0
2019-09-30,7.38,$-3.28,0.0
2019-06-30,11.22,$-2.79,0.0
2019-03-31,10.75,$-2.41,0.0
2018-12-31,15.1,$-1.90,0.0
2018-09-30,18.5,$-0.56,0.0
2018-06-30,22.86,$-0.71,0.0
2018-03-31,28.45,$4.69,6.06
2017-12-31,21.11,$4.54,4.65
2017-09-30,18.17,$4.02,4.52
2017-06-30,15.5,$3.78,4.1
2017-03-31,17.27,$-0.50,0.0
2016-12-31,10.99,$-0.11,0.0
2016-09-30,15.68,$-3.53,0.0
