FTC Solar Price to Free Cash Flow Ratio Historical Data,FTC Solar Price to Free Cash Flow Ratio Historical Data,FTC Solar Price to Free Cash Flow Ratio Historical Data,FTC Solar Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.73,,0.0
2024-09-30,0.68,$-2.24,0.0
2024-06-30,0.35,$-3.20,0.0
2024-03-31,0.54,$-4.83,0.0
2023-12-31,0.69,$-4.63,0.0
2023-09-30,1.28,$-4.50,0.0
2023-06-30,3.22,$-4.52,0.0
2023-03-31,2.25,$-0.84,0.0
2022-12-31,2.68,$-5.46,0.0
2022-09-30,2.96,$-10.58,0.0
2022-06-30,3.62,$-9.43,0.0
2022-03-31,4.93,$-20.97,0.0
