Perdoceo Education Price to Free Cash Flow Ratio Historical Data,Perdoceo Education Price to Free Cash Flow Ratio Historical Data,Perdoceo Education Price to Free Cash Flow Ratio Historical Data,Perdoceo Education Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,24.48,,10.49
2024-12-31,26.47,$2.33,11.34
2024-09-30,22.14,$2.25,9.84
2024-06-30,21.2,$2.00,10.6
2024-03-31,17.29,$2.32,7.47
2023-12-31,17.19,$1.56,11.04
2023-09-30,16.63,$1.93,8.63
2023-06-30,11.86,$2.18,5.43
2023-03-31,12.98,$1.75,7.41
2022-12-31,13.43,$1.96,6.84
2022-09-30,9.95,$2.06,4.84
2022-06-30,11.38,$2.13,5.34
2022-03-31,11.09,$2.19,5.07
2021-12-31,11.36,$2.55,4.46
2021-09-30,10.2,$2.48,4.11
2021-06-30,11.86,$2.06,5.75
2021-03-31,11.56,$2.39,4.84
2020-12-31,12.2,$2.39,5.11
2020-09-30,11.83,$1.64,7.22
2020-06-30,15.39,$1.64,9.4
2020-03-31,10.43,$1.38,7.57
2019-12-31,17.77,$0.94,18.86
2019-09-30,15.35,$1.64,9.35
2019-06-30,18.43,$1.28,14.43
2019-03-31,15.96,$0.74,21.56
2018-12-31,11.03,$0.70,15.7
2018-09-30,14.43,$0.25,57.47
2018-06-30,15.62,$0.27,57.14
2018-03-31,12.7,$0.29,43.07
2017-12-31,11.67,$-0.41,0.0
2017-09-30,10.04,$-0.61,0.0
2017-06-30,9.28,$-0.55,0.0
2017-03-31,8.41,$-0.37,0.0
2016-12-31,9.75,$0.03,284.22
2016-09-30,6.56,$0.10,66.47
2016-06-30,5.75,$0.05,115.44
2016-03-31,4.39,$-0.29,0.0
2015-12-31,3.51,$-0.48,0.0
2015-09-30,3.63,$-0.69,0.0
2015-06-30,3.19,$-1.11,0.0
2015-03-31,4.86,$-1.73,0.0
2014-12-31,6.72,$-1.96,0.0
2014-09-30,4.91,$0.52,9.46
2014-06-30,4.52,$0.61,7.46
2014-03-31,7.21,$0.46,15.59
2013-12-31,5.51,$0.77,7.17
2013-09-30,2.66,$-2.29,0.0
2013-06-30,2.8,$-1.93,0.0
2013-03-31,2.29,$-1.18,0.0
2012-12-31,3.39,$-0.83,0.0
2012-09-30,3.63,$0.17,21.41
2012-06-30,6.46,$1.11,5.84
2012-03-31,7.79,$1.65,4.71
2011-12-31,7.7,$2.13,3.62
2011-09-30,12.61,$2.10,6.02
2011-06-30,20.44,$2.70,7.56
2011-03-31,21.95,$1.94,11.34
2010-12-31,20.03,$1.79,11.17
2010-09-30,20.74,$2.18,9.52
2010-06-30,22.24,$2.29,9.71
2010-03-31,30.57,$2.51,12.18
2009-12-31,22.52,$2.48,9.09
