Kartoon Studios Price to Free Cash Flow Ratio Historical Data,Kartoon Studios Price to Free Cash Flow Ratio Historical Data,Kartoon Studios Price to Free Cash Flow Ratio Historical Data,Kartoon Studios Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.61,,9.15
2024-09-30,0.87,$0.07,13.03
2024-06-30,1.03,$-0.22,0.0
2024-03-31,1.37,$-0.21,0.0
2023-12-31,1.39,$-0.48,0.0
2023-09-30,1.4,$-0.65,0.0
2023-06-30,1.91,$-0.60,0.0
2023-03-31,2.73,$-0.83,0.0
2022-12-31,4.65,$-0.84,0.0
2022-09-30,6.01,$-1.04,0.0
2022-06-30,7.57,$-1.08,0.0
2022-03-31,10.2,$-0.79,0.0
2021-12-31,10.5,$-0.81,0.0
2021-09-30,13.6,$-0.86,0.0
2021-06-30,18.4,$-0.57,0.0
2021-03-31,19.4,$-0.38,0.0
2020-12-31,13.8,$-0.57,0.0
2020-09-30,11.9,$-1.38,0.0
2020-06-30,22.5,$-3.12,0.0
2020-03-31,2.82,$-4.43,0.0
2019-12-31,2.73,$-5.27,0.0
2019-09-30,6.42,$-7.24,0.0
2019-06-30,13.9,$-7.63,0.0
2019-03-31,19.7,$-8.62,0.0
2018-12-31,21.5,$-9.17,0.0
2018-09-30,20.5,$-9.42,0.0
2018-06-30,23.8,$-9.74,0.0
2018-03-31,28.0,$-9.01,0.0
2017-12-31,27.2,$-11.91,0.0
2017-09-30,41.2,$-18.08,0.0
