Origin Agritech Price to Free Cash Flow Ratio Historical Data,Origin Agritech Price to Free Cash Flow Ratio Historical Data,Origin Agritech Price to Free Cash Flow Ratio Historical Data,Origin Agritech Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.85,,0.86
2017-03-31,20.3,$2.14,9.48
2016-12-31,23.6,$2.14,11.03
2016-09-30,23.7,$2.14,11.07
2016-06-30,17.8,0,0.0
2016-03-31,13.2,0,0.0
2015-12-31,14.3,0,0.0
2015-09-30,13.4,0,0.0
2015-06-30,20.0,$-6.87,0.0
2015-03-31,14.6,$-6.87,0.0
2014-12-31,14.7,$-6.87,0.0
2014-09-30,21.6,$-6.87,0.0
2014-06-30,22.5,$-14.20,0.0
2014-03-31,22.2,$-14.20,0.0
2013-12-31,12.7,$-14.20,0.0
2013-09-30,13.8,$-14.20,0.0
2013-06-30,14.0,$-1.07,0.0
2013-03-31,18.2,$-1.07,0.0
2012-12-31,13.9,$-1.07,0.0
2012-09-30,14.4,$-1.07,0.0
2012-06-30,14.2,0,0.0
2012-03-31,24.6,0,0.0
2011-12-31,23.6,0,0.0
2011-09-30,23.3,0,0.0
2011-06-30,39.8,$18.28,2.18
2011-03-31,77.0,$18.28,4.21
2010-12-31,106.5,$18.28,5.83
2010-09-30,81.8,$18.28,4.47
2010-06-30,73.4,$12.75,5.76
2010-03-31,99.9,$12.75,7.83
2009-12-31,117.7,$12.75,9.23
