U.S Global Investors Price to Free Cash Flow Ratio Historical Data,U.S Global Investors Price to Free Cash Flow Ratio Historical Data,U.S Global Investors Price to Free Cash Flow Ratio Historical Data,U.S Global Investors Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.27,,0.0
2024-12-31,2.44,$-0.03,0.0
2024-09-30,2.56,$-0.00,0.0
2024-06-30,2.56,$0.05,46.78
2024-03-31,2.71,$0.07,39.59
2023-12-31,2.72,$0.18,15.23
2023-09-30,2.73,$0.18,15.42
2023-06-30,2.91,$0.20,14.72
2023-03-31,2.52,$0.27,9.36
2022-12-31,2.71,$0.41,6.6
2022-09-30,2.67,$0.61,4.39
2022-06-30,4.08,$0.69,5.94
2022-03-31,4.78,$0.78,6.13
2021-12-31,4.03,$0.63,6.44
2021-09-30,5.19,$0.41,12.69
2021-06-30,5.63,$0.31,18.08
2021-03-31,6.34,$0.09,72.68
2020-12-31,4.94,$-0.13,0.0
2020-09-30,2.15,$-0.07,0.0
2020-06-30,1.71,$-0.13,0.0
2020-03-31,0.87,$-0.11,0.0
2019-12-31,1.28,$0.01,125.88
2019-09-30,1.77,$-0.05,0.0
2019-06-30,1.6,$-0.07,0.0
2019-03-31,0.96,$-0.18,0.0
2018-12-31,0.96,$-0.17,0.0
2018-09-30,1.32,$-0.15,0.0
2018-06-30,1.39,$-0.00,0.0
2018-03-31,2.18,$0.14,15.62
2017-12-31,3.35,$0.12,28.32
2017-09-30,1.83,$0.16,11.25
2017-06-30,1.3,$0.05,28.57
2017-03-31,1.32,$0.23,5.75
2016-12-31,1.15,$0.21,5.46
2016-09-30,1.55,$0.18,8.64
2016-06-30,1.42,$0.20,7.21
2016-03-31,1.44,$-0.00,0.0
2015-12-31,0.97,$0.00,0.0
2015-09-30,1.38,$-0.01,0.0
2015-06-30,2.28,$-0.05,0.0
2015-03-31,2.61,$0.05,49.38
2014-12-31,2.52,$-0.01,0.0
2014-09-30,2.87,$-0.97,0.0
2014-06-30,2.83,$-0.98,0.0
2014-03-31,2.57,$-1.13,0.0
2013-12-31,2.03,$-0.97,0.0
2013-09-30,2.27,$-0.00,0.0
2013-06-30,1.66,$0.03,60.93
2013-03-31,2.88,$0.12,24.96
2012-12-31,3.13,$0.01,265.49
2012-09-30,4.72,$-0.00,0.0
2012-06-30,3.32,$0.12,28.48
2012-03-31,5.44,$0.21,26.35
2011-12-31,4.49,$0.47,9.58
2011-09-30,5.0,$0.53,9.42
2011-06-30,5.27,$0.50,10.63
2011-03-31,5.89,$0.52,11.32
2010-12-31,5.86,$0.39,15.19
2010-09-30,4.52,$0.46,9.75
2010-06-30,3.93,$0.46,8.52
2010-03-31,6.95,$0.37,18.88
2009-12-31,8.61,$0.30,28.36
