BCB Bancorp (NJ) Price to Free Cash Flow Ratio Historical Data,BCB Bancorp (NJ) Price to Free Cash Flow Ratio Historical Data,BCB Bancorp (NJ) Price to Free Cash Flow Ratio Historical Data,BCB Bancorp (NJ) Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,10.02,,2.56
2024-12-31,11.84,$3.91,3.03
2024-09-30,12.18,$3.53,3.45
2024-06-30,10.35,$1.55,6.66
2024-03-31,10.0,$1.35,7.41
2023-12-31,12.14,$1.82,6.67
2023-09-30,10.37,$2.24,4.62
2023-06-30,10.79,$2.42,4.47
2023-03-31,11.88,$2.60,4.57
2022-12-31,16.13,$2.33,6.93
2022-09-30,14.97,$2.61,5.73
2022-06-30,15.02,$2.58,5.83
2022-03-31,15.96,$2.56,6.23
2021-12-31,13.37,$2.71,4.93
2021-09-30,12.66,$9.72,1.3
2021-06-30,11.41,$9.62,1.19
2021-03-31,11.59,$9.00,1.29
2020-12-31,9.19,$8.49,1.08
2020-09-30,6.55,$1.29,5.07
2020-06-30,7.47,$0.93,8.04
2020-03-31,8.44,$1.38,6.13
2019-12-31,10.82,$1.47,7.35
2019-09-30,9.96,$2.62,3.8
2019-06-30,10.62,$2.69,3.96
2019-03-31,10.17,$2.35,4.33
2018-12-31,7.85,$2.53,3.1
2018-09-30,10.27,$1.45,7.08
2018-06-30,11.02,$1.20,9.16
2018-03-31,11.39,$1.79,6.36
2017-12-31,10.46,$1.99,5.25
2017-09-30,9.96,$1.17,8.5
2017-06-30,10.82,$1.42,7.62
2017-03-31,11.68,$0.64,18.31
2016-12-31,9.02,$0.21,43.95
2016-09-30,7.72,$-0.05,0.0
2016-06-30,6.93,$0.27,25.39
2016-03-31,6.69,$0.54,12.47
2015-12-31,6.85,$0.63,10.8
2015-09-30,6.5,$1.41,4.62
2015-06-30,7.85,$1.03,7.63
2015-03-31,7.65,$0.80,9.56
2014-12-31,7.36,$0.44,16.91
2014-09-30,8.25,$0.73,11.31
2014-06-30,8.3,$0.84,9.91
2014-03-31,7.95,$1.83,4.34
2013-12-31,8.1,$2.14,3.78
2013-09-30,6.46,$1.84,3.51
2013-06-30,6.21,$1.69,3.68
2013-03-31,5.66,$1.53,3.71
2012-12-31,5.43,$1.73,3.14
2012-09-30,5.98,$1.81,3.31
2012-06-30,5.83,$1.61,3.61
2012-03-31,5.55,$1.49,3.73
2011-12-31,5.54,$1.55,3.58
2011-09-30,4.93,$1.14,4.33
2011-06-30,6.1,$0.12,49.4
2011-03-31,5.46,$0.04,131.31
2010-12-31,5.14,$-0.27,0.0
2010-09-30,4.69,$-0.49,0.0
2010-06-30,4.03,$0.64,6.25
2010-03-31,4.55,$0.03,151.74
2009-12-31,4.48,$0.04,127.51
