Hancock Whitney Price to Free Cash Flow Ratio Historical Data,Hancock Whitney Price to Free Cash Flow Ratio Historical Data,Hancock Whitney Price to Free Cash Flow Ratio Historical Data,Hancock Whitney Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,51.98,,7.25
2024-12-31,54.72,$7.17,7.63
2024-09-30,50.82,$6.38,7.96
2024-06-30,47.14,$6.64,7.1
2024-03-31,44.98,$6.79,6.63
2023-12-31,47.13,$5.82,8.09
2023-09-30,35.64,$6.06,5.88
2023-06-30,36.72,$6.26,5.87
2023-03-31,34.57,$7.25,4.77
2022-12-31,45.68,$9.41,4.85
2022-09-30,43.03,$8.24,5.22
2022-06-30,41.4,$7.77,5.33
2022-03-31,48.44,$6.69,7.24
2021-12-31,46.24,$6.48,7.13
2021-09-30,43.31,$7.35,5.89
2021-06-30,40.61,$7.26,5.6
2021-03-31,38.18,$6.53,5.84
2020-12-31,30.71,$3.67,8.38
2020-09-30,16.83,$4.31,3.9
2020-06-30,18.72,$2.88,6.5
2020-03-31,17.05,$3.58,4.76
2019-12-31,38.03,$3.57,10.65
2019-09-30,32.97,$2.71,12.15
2019-06-30,34.22,$3.53,9.68
2019-03-31,34.28,$3.54,9.68
2018-12-31,29.22,$4.66,6.27
2018-09-30,39.82,$2.32,17.17
2018-06-30,38.86,$4.96,7.84
2018-03-31,42.87,$4.68,9.16
2017-12-31,40.86,$4.60,8.88
2017-09-30,39.8,$6.69,5.95
2017-06-30,40.04,$4.01,9.97
2017-03-31,37.03,$4.14,8.95
2016-12-31,34.86,$4.26,8.18
2016-09-30,26.08,$3.44,7.57
2016-06-30,20.84,$3.49,5.98
2016-03-31,18.17,$3.35,5.42
2015-12-31,19.72,$2.89,6.83
2015-09-30,21.02,$3.52,5.96
2015-06-30,24.57,$3.66,6.72
2015-03-31,22.81,$3.65,6.25
2014-12-31,23.27,$4.20,5.54
2014-09-30,24.11,$4.09,5.89
2014-06-30,26.38,$4.47,5.91
2014-03-31,27.18,$5.16,5.26
2013-12-31,27.01,$5.33,5.07
2013-09-30,22.95,$6.11,3.76
2013-06-30,21.82,$5.72,3.82
2013-03-31,22.25,$5.27,4.22
2012-12-31,22.65,$4.75,4.77
2012-09-30,21.95,$3.86,5.69
2012-06-30,21.39,$0.68,31.37
2012-03-31,24.75,$4.80,5.16
2011-12-31,22.13,$3.17,6.98
2011-09-30,18.41,$4.51,4.08
2011-06-30,21.1,$6.59,3.2
2011-03-31,22.2,$1.79,12.42
2010-12-31,23.39,$4.73,4.95
2010-09-30,20.03,$1.94,10.34
2010-06-30,22.04,$2.58,8.56
2010-03-31,27.44,$2.52,10.89
2009-12-31,28.59,$0.26,110.29
