Citizens Price to Free Cash Flow Ratio Historical Data,Citizens Price to Free Cash Flow Ratio Historical Data,Citizens Price to Free Cash Flow Ratio Historical Data,Citizens Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,5.26,,8.54
2024-12-31,4.01,$0.62,6.51
2024-09-30,3.62,$0.53,6.81
2024-06-30,2.72,$0.41,6.68
2024-03-31,2.14,$0.42,5.15
2023-12-31,2.69,$0.43,6.31
2023-09-30,2.85,$0.64,4.48
2023-06-30,2.41,$0.92,2.62
2023-03-31,3.71,$1.02,3.63
2022-12-31,2.13,$1.12,1.91
2022-09-30,3.34,$1.10,3.02
2022-06-30,4.19,$1.05,3.98
2022-03-31,4.24,$0.98,4.32
2021-12-31,5.31,$0.78,6.81
2021-09-30,6.21,$0.73,8.5
2021-06-30,5.29,$0.55,9.57
2021-03-31,5.79,$0.71,8.15
2020-12-31,5.73,$0.95,6.0
2020-09-30,5.54,$1.10,5.02
2020-06-30,5.99,$1.37,4.37
2020-03-31,6.52,$1.35,4.82
2019-12-31,6.75,$1.42,4.74
2019-09-30,6.87,$1.38,4.96
2019-06-30,7.3,$1.46,5.01
2019-03-31,6.67,$1.59,4.2
2018-12-31,7.52,$1.68,4.49
2018-09-30,8.4,$1.77,4.74
2018-06-30,7.79,$1.82,4.29
2018-03-31,7.32,$1.85,3.96
2017-12-31,7.35,$1.83,4.01
2017-09-30,7.35,$1.99,3.7
2017-06-30,7.38,$2.00,3.69
2017-03-31,7.43,$2.01,3.7
2016-12-31,9.82,$2.00,4.91
2016-09-30,9.36,$1.84,5.08
2016-06-30,7.6,$1.78,4.26
2016-03-31,7.24,$1.80,4.01
2015-12-31,7.43,$1.73,4.3
2015-09-30,7.42,$1.83,4.06
2015-06-30,7.46,$1.84,4.05
2015-03-31,6.16,$1.84,3.34
2014-12-31,7.6,$1.91,3.98
2014-09-30,6.46,$1.87,3.46
2014-06-30,7.4,$1.83,4.05
2014-03-31,7.4,$1.66,4.45
2013-12-31,8.75,$1.62,5.41
2013-09-30,8.64,$1.51,5.73
2013-06-30,5.98,$1.43,4.18
2013-03-31,8.39,$1.43,5.87
2012-12-31,11.05,$1.37,8.05
2012-09-30,10.49,$1.36,7.72
2012-06-30,9.75,$1.31,7.43
2012-03-31,9.88,$1.28,7.73
2011-12-31,9.69,$1.25,7.72
2011-09-30,6.41,$1.22,5.24
2011-06-30,6.82,$1.25,5.44
2011-03-31,7.3,$1.20,6.08
2010-12-31,7.45,$1.18,6.33
2010-09-30,6.89,$1.13,6.11
2010-06-30,6.66,$1.07,6.22
2010-03-31,6.91,$1.12,6.15
2009-12-31,6.53,$1.07,6.12
