GoldMining Price to Free Cash Flow Ratio Historical Data,GoldMining Price to Free Cash Flow Ratio Historical Data,GoldMining Price to Free Cash Flow Ratio Historical Data,GoldMining Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.85,,0.0
2024-11-30,0.87,$-0.09,0.0
2024-08-31,0.84,$-0.09,0.0
2024-05-31,0.89,$-0.09,0.0
2024-02-29,0.79,$-0.09,0.0
2023-11-30,0.92,$-0.10,0.0
2023-08-31,0.84,$-0.09,0.0
2023-05-31,1.04,$-0.07,0.0
2023-02-28,1.07,$-0.06,0.0
2022-11-30,1.37,$-0.06,0.0
2022-08-31,0.89,$-0.05,0.0
2022-05-31,1.2,$-0.05,0.0
2022-02-28,1.79,$-0.04,0.0
2021-11-30,1.29,$-0.04,0.0
2021-08-31,1.31,$-0.08,0.0
