Bakkt Holdings Price to Free Cash Flow Ratio Historical Data,Bakkt Holdings Price to Free Cash Flow Ratio Historical Data,Bakkt Holdings Price to Free Cash Flow Ratio Historical Data,Bakkt Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,10.52,,0.0
2024-09-30,9.57,$-11.47,0.0
2024-06-30,18.92,$-0.99,0.0
2024-03-31,0.46,$4.20,0.11
2023-12-31,2.23,$-19.68,0.0
2023-09-30,1.17,$-30.94,0.0
2023-06-30,1.23,$-49.17,0.0
2023-03-31,1.72,$-64.09,0.0
2022-12-31,1.19,$-52.04,0.0
2022-09-30,2.28,$-107.42,0.0
2022-06-30,2.1,$-95.80,0.0
2022-03-31,6.16,$-64.20,0.0
2021-12-31,8.51,$-69.41,0.0
2021-09-30,10.11,0,0.0
