Las Vegas Sands Price to Free Cash Flow Ratio Historical Data,Las Vegas Sands Price to Free Cash Flow Ratio Historical Data,Las Vegas Sands Price to Free Cash Flow Ratio Historical Data,Las Vegas Sands Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,42.88,,19.29
2024-12-31,51.36,$2.22,23.11
2024-09-30,50.14,$2.63,19.06
2024-06-30,43.85,$2.98,14.73
2024-03-31,51.01,$3.22,15.83
2023-12-31,48.37,$2.89,16.72
2023-09-30,44.87,$1.67,26.85
2023-06-30,56.58,$0.59,96.26
2023-03-31,56.04,$-0.89,0.0
2022-12-31,46.89,$-2.08,0.0
2022-09-30,36.6,$-1.86,0.0
2022-06-30,32.77,$-2.01,0.0
2022-03-31,37.92,$-1.60,0.0
2021-12-31,36.72,$-1.39,0.0
2021-09-30,35.7,$-1.52,0.0
2021-06-30,51.4,$-1.79,0.0
2021-03-31,59.27,$-2.90,0.0
2020-12-31,58.14,$-3.16,0.0
2020-09-30,45.52,$-1.96,0.0
2020-06-30,44.43,$-0.34,0.0
2020-03-31,41.43,$0.69,60.29
2019-12-31,66.07,$2.32,28.46
2019-09-30,54.66,$2.61,20.97
2019-06-30,55.2,$2.72,20.32
2019-03-31,56.22,$4.07,13.8
2018-12-31,47.39,$4.80,9.88
2018-09-30,53.25,$4.92,10.82
2018-06-30,67.7,$5.17,13.1
2018-03-31,63.15,$5.21,12.11
2017-12-31,60.41,$4.70,12.86
2017-09-30,55.21,$4.48,12.33
2017-06-30,54.35,$4.15,13.08
2017-03-31,48.01,$3.72,12.92
2016-12-31,44.35,$3.33,13.3
2016-09-30,47.16,$2.93,16.08
2016-06-30,35.19,$2.71,13.01
2016-03-31,41.15,$2.54,16.22
2015-12-31,34.45,$2.42,14.23
2015-09-30,29.38,$2.68,10.96
2015-06-30,40.1,$3.30,12.15
2015-03-31,41.48,$3.91,10.62
2014-12-31,43.33,$4.52,9.58
2014-09-30,45.92,$4.74,9.69
2014-06-30,55.82,$4.66,11.98
2014-03-31,58.77,$4.57,12.86
2013-12-31,57.03,$4.32,13.19
2013-09-30,47.81,$3.71,12.9
2013-06-30,37.9,$3.10,12.24
2013-03-31,40.1,$2.46,16.32
2012-12-31,32.63,$1.95,16.7
2012-09-30,30.68,$1.73,17.7
2012-06-30,28.62,$1.81,15.84
2012-03-31,37.68,$1.65,22.85
2011-12-31,27.84,$1.43,19.48
2011-09-30,24.98,$1.46,17.06
2011-06-30,27.5,$1.05,26.16
2011-03-31,27.51,$0.36,76.1
2010-12-31,29.94,$-0.13,0.0
2010-09-30,22.71,$-1.24,0.0
2010-06-30,14.43,$-1.86,0.0
2010-03-31,13.78,$-2.01,0.0
2009-12-31,9.73,$-2.21,0.0
