TuHURA Biosciences Price to Free Cash Flow Ratio Historical Data,TuHURA Biosciences Price to Free Cash Flow Ratio Historical Data,TuHURA Biosciences Price to Free Cash Flow Ratio Historical Data,TuHURA Biosciences Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.0,,0.25
2024-09-30,238.88,$16.14,14.8
2024-06-30,330.87,$-9.55,0.0
2024-03-31,127.4,$-45.36,0.0
2023-12-31,207.76,$-102.47,0.0
2023-09-30,4949.0,$-130.32,0.0
2023-06-30,4936.75,$-261.09,0.0
2023-03-31,4323.02,$-404.52,0.0
2022-12-31,8440.25,$-552.04,0.0
2022-09-30,6615.0,$-630.98,0.0
2022-06-30,17027.5,$-732.04,0.0
2022-03-31,24371.37,$-975.23,0.0
2021-12-31,31237.5,$-969.39,0.0
2021-09-30,52687.25,"$-1,112.74",0.0
2021-06-30,139037.5,"$-1,274.08",0.0
2021-03-31,106575.0,"$-1,354.48",0.0
2020-12-31,78400.0,"$-1,388.78",0.0
2020-09-30,85750.0,"$-1,221.66",0.0
2020-06-30,42127.75,"$-1,327.09",0.0
2020-03-31,24392.2,$-819.90,0.0
2019-12-31,42244.12,$-610.67,0.0
2019-09-30,33865.12,$-527.02,0.0
2019-06-30,79012.5,$-2.46,0.0
2019-03-31,300124.99,$-3.31,0.0
2018-12-31,209413.74,$-5.79,0.0
2018-09-30,445593.74,$-5.48,0.0
2018-06-30,418337.49,$-4.73,0.0
2018-03-31,575749.98,$-3.48,0.0
2017-12-31,667624.98,$-0.60,0.0
2017-09-30,514499.98,$-0.68,0.0
2017-06-30,1402624.96,$-0.67,0.0
