Revelation Biosciences Price to Free Cash Flow Ratio Historical Data,Revelation Biosciences Price to Free Cash Flow Ratio Historical Data,Revelation Biosciences Price to Free Cash Flow Ratio Historical Data,Revelation Biosciences Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.91,,0.0
2024-12-31,0.46,$-106.63,0.0
2024-09-30,0.85,$-288.68,0.0
2024-06-30,1.91,$-342.55,0.0
2024-03-31,2.74,$-410.57,0.0
2023-12-31,0.5,$-520.45,0.0
2023-09-30,0.69,"$-2,774.79",0.0
2023-06-30,0.94,"$-2,683.32",0.0
2023-03-31,1.3,"$-2,612.79",0.0
2022-12-31,0.19,"$-2,472.59",0.0
2022-09-30,0.26,$-55.31,0.0
2022-06-30,1.11,$-58.25,0.0
2022-03-31,1.14,$-51.06,0.0
2021-12-31,10.2,$-39.84,0.0
2021-09-30,10.08,$-1.42,0.0
