PepGen Price to Free Cash Flow Ratio Historical Data,PepGen Price to Free Cash Flow Ratio Historical Data,PepGen Price to Free Cash Flow Ratio Historical Data,PepGen Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.89,,0.0
2024-12-31,3.79,$-2.62,0.0
2024-09-30,8.55,$-2.76,0.0
2024-06-30,15.96,$-2.73,0.0
2024-03-31,14.7,$-3.10,0.0
2023-12-31,6.8,$-3.01,0.0
2023-09-30,5.08,$-4.16,0.0
2023-06-30,8.94,$-3.58,0.0
2023-03-31,12.23,$-4.73,0.0
