Century Communities Price to Free Cash Flow Ratio Historical Data,Century Communities Price to Free Cash Flow Ratio Historical Data,Century Communities Price to Free Cash Flow Ratio Historical Data,Century Communities Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,70.31,,35.73
2024-12-31,73.36,$1.97,37.28
2024-09-30,102.69,$-10.59,0.0
2024-06-30,81.22,$-9.57,0.0
2024-03-31,95.97,$-8.42,0.0
2023-12-31,90.37,$-2.80,0.0
2023-09-30,66.0,$9.84,6.71
2023-06-30,75.49,$14.43,5.23
2023-03-31,62.75,$10.28,6.1
2022-12-31,48.91,$8.03,6.09
2022-09-30,41.66,$-11.39,0.0
2022-06-30,43.61,$-13.96,0.0
2022-03-31,51.75,$-5.80,0.0
2021-12-31,78.77,$-6.10,0.0
2021-09-30,59.06,$2.92,20.22
2021-06-30,63.81,$8.93,7.15
2021-03-31,57.74,$13.08,4.41
2020-12-31,41.91,$9.88,4.24
2020-09-30,40.52,$11.69,3.47
2020-06-30,29.35,$5.63,5.22
2020-03-31,13.89,$-1.06,0.0
2019-12-31,26.18,$-2.67,0.0
2019-09-30,29.32,$-4.66,0.0
2019-06-30,25.44,$-7.27,0.0
2019-03-31,22.95,$-7.44,0.0
2018-12-31,16.52,$-6.96,0.0
2018-09-30,25.13,$-7.64,0.0
2018-06-30,30.2,$-6.29,0.0
2018-03-31,28.67,$-6.31,0.0
2017-12-31,29.77,$-5.25,0.0
2017-09-30,23.64,$-4.43,0.0
2017-06-30,23.74,$-2.61,0.0
2017-03-31,24.32,$-1.11,0.0
2016-12-31,20.1,$-2.52,0.0
2016-09-30,20.59,$-4.12,0.0
2016-06-30,16.6,$-6.43,0.0
2016-03-31,16.34,$-8.21,0.0
2015-12-31,16.95,$-8.19,0.0
2015-09-30,19.0,$-8.88,0.0
2015-06-30,19.27,$-7.41,0.0
2015-03-31,18.5,$-8.70,0.0
