Fortis Price to Free Cash Flow Ratio Historical Data,Fortis Price to Free Cash Flow Ratio Historical Data,Fortis Price to Free Cash Flow Ratio Historical Data,Fortis Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,45.24,,0.0
2024-12-31,41.57,$-1.67,0.0
2024-09-30,44.82,$-1.36,0.0
2024-06-30,37.93,$-1.51,0.0
2024-03-31,38.18,$-1.14,0.0
2023-12-31,39.31,$-0.67,0.0
2023-09-30,35.93,$-0.19,0.0
2023-06-30,40.33,$-0.60,0.0
2023-03-31,39.43,$-0.72,0.0
2022-12-31,36.75,$-0.82,0.0
2022-09-30,34.5,$-0.94,0.0
2022-06-30,42.55,$-0.61,0.0
2022-03-31,44.18,$-0.52,0.0
2021-12-31,42.68,$-0.48,0.0
2021-09-30,38.83,$-0.97,0.0
2021-06-30,38.4,$-1.11,0.0
2021-03-31,37.31,$-1.06,0.0
2020-12-31,34.78,$-1.85,0.0
2020-09-30,34.49,$-3.48,0.0
2020-06-30,31.85,$-3.35,0.0
2020-03-31,31.95,$-1.98,0.0
2019-12-31,34.14,$-1.44,0.0
2019-09-30,34.49,$0.31,110.06
2019-06-30,31.9,$0.53,60.67
2019-03-31,29.63,$-0.95,0.0
2018-12-31,26.47,$-0.78,0.0
2018-09-30,25.47,$-0.25,0.0
2018-06-30,24.8,$-0.06,0.0
2018-03-31,26.01,$0.02,1469.28
2017-12-31,27.94,$-0.09,0.0
2017-09-30,27.01,$0.10,258.75
