First Seacoast Bancorp Price to Free Cash Flow Ratio Historical Data,First Seacoast Bancorp Price to Free Cash Flow Ratio Historical Data,First Seacoast Bancorp Price to Free Cash Flow Ratio Historical Data,First Seacoast Bancorp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,11.25,,10.65
2024-09-30,9.07,$1.06,8.59
2024-06-30,9.0,$0.93,9.69
2024-03-31,8.38,$-0.41,0.0
2023-12-31,7.69,$-0.49,0.0
2023-09-30,7.38,$-0.34,0.0
2023-06-30,8.02,$-0.62,0.0
2023-03-31,8.62,$0.07,125.47
2022-12-31,9.55,$0.18,52.91
2022-09-30,10.33,$0.31,32.91
2022-06-30,10.69,$0.58,18.49
2022-03-31,10.6,$0.16,67.99
2021-12-31,10.67,$0.41,26.03
2021-09-30,9.75,$0.18,54.9
2021-06-30,9.81,$0.19,52.01
2021-03-31,9.95,$0.51,19.36
2020-12-31,8.88,$0.19,47.13
2020-09-30,7.74,$0.54,14.37
2020-06-30,6.15,$0.70,8.73
