Locafy Price to Free Cash Flow Ratio Historical Data,Locafy Price to Free Cash Flow Ratio Historical Data,Locafy Price to Free Cash Flow Ratio Historical Data,Locafy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,5.27,,0.0
2024-09-30,6.38,$-2.06,0.0
2024-03-31,4.96,$-0.86,0.0
2023-09-30,7.15,$-1.81,0.0
2023-06-30,6.45,$-1.45,0.0
2023-03-31,6.48,$-0.15,0.0
