Eagle Bancorp Price to Free Cash Flow Ratio Historical Data,Eagle Bancorp Price to Free Cash Flow Ratio Historical Data,Eagle Bancorp Price to Free Cash Flow Ratio Historical Data,Eagle Bancorp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,21.58,,5.27
2024-12-31,26.03,$4.09,6.36
2024-09-30,22.42,$5.56,4.04
2024-06-30,18.39,$5.36,3.43
2024-03-31,22.37,$4.59,4.88
2023-12-31,28.25,$6.43,4.39
2023-09-30,19.64,$6.35,3.1
2023-06-30,19.04,$5.16,3.69
2023-03-31,29.7,$6.06,4.9
2022-12-31,38.71,$6.01,6.44
2022-09-30,38.98,$4.72,8.26
2022-06-30,40.85,$7.77,5.26
2022-03-31,48.75,$8.89,5.48
2021-12-31,49.58,$7.29,6.8
2021-09-30,48.53,$7.56,6.42
2021-06-30,47.03,$5.97,7.87
2021-03-31,44.41,$3.21,13.82
2020-12-31,34.31,$4.02,8.53
2020-09-30,22.09,$4.49,4.92
2020-06-30,26.8,$3.74,7.16
2020-03-31,24.54,$4.10,5.98
2019-12-31,39.33,$3.80,10.36
2019-09-30,35.9,$4.28,8.38
2019-06-30,43.55,$4.68,9.31
2019-03-31,40.23,$5.30,7.6
2018-12-31,39.03,$4.76,8.2
2018-09-30,40.55,$4.38,9.27
2018-06-30,49.12,$4.59,10.71
2018-03-31,47.96,$2.99,16.05
2017-12-31,46.4,$4.52,10.26
2017-09-30,53.73,$4.71,11.41
2017-06-30,50.72,$3.39,14.95
2017-03-31,47.84,$3.93,12.16
2016-12-31,48.84,$3.20,15.26
2016-09-30,39.53,$1.98,20.0
2016-06-30,38.55,$5.37,7.18
2016-03-31,38.46,$3.62,10.64
2015-12-31,40.44,$2.81,14.42
2015-09-30,36.46,$3.21,11.37
2015-06-30,35.23,$-0.02,0.0
2015-03-31,30.77,$1.59,19.35
2014-12-31,28.46,$1.97,14.45
2014-09-30,25.5,$2.67,9.55
2014-06-30,27.04,$4.89,5.53
2014-03-31,28.93,$6.19,4.67
2013-12-31,24.54,$9.61,2.55
2013-09-30,22.67,$7.15,3.17
2013-06-30,17.93,$1.91,9.41
2013-03-31,15.95,$0.45,35.5
2012-12-31,14.55,$0.41,35.2
2012-09-30,12.18,$-1.24,0.0
2012-06-30,11.47,$-1.86,0.0
2012-03-31,12.19,$-1.97,0.0
2011-12-31,10.59,$-2.76,0.0
2011-09-30,8.57,$-0.07,0.0
2011-06-30,9.69,$1.46,6.63
2011-03-31,10.24,$0.86,11.84
2010-12-31,10.51,$-2.08,0.0
2010-09-30,8.36,$-2.22,0.0
2010-06-30,8.58,$-0.66,0.0
2010-03-31,8.63,$0.35,24.45
2009-12-31,7.63,$0.39,19.78
